Date,XLY,XLP,IWM,IWB,50,59
2016-11-1,-0.00706725,-0.004365611,-0.012311738,-0.006798746,-0.007695036,-0.005293489
2016-11-2,-0.006079014,-0.002476061,-0.012811416,-0.006501724,-0.002812941,0.012102553
2016-11-3,-0.002598073,-0.006888567,-0.004857717,-0.004559376,0.013986242,0
2016-11-4,-0.001952988,-0.009065572,0.006414145,-0.000517569,0.004849334,-0.017110388
2016-11-7,0.022805779,0.016716675,0.024157206,0.021168455,-0.033020211,0.005944019
2016-11-8,0.004068216,0.004183393,0.002611034,0.004382314,0.028170877,-0.015085138
2016-11-9,0.002027918,-0.013756552,0.030322983,0.01137136,-0.027456846,0.015397005
2016-11-10,0.003664949,-0.027104953,0.015868211,0.002325144,0.000713521,0.00652683
2016-11-11,0.005660833,-0.000988831,0.022712061,-0.001909622,-0.002857145,-0.017500447
2016-11-14,0.000125374,-0.001782494,0.01395667,0.002324247,0.001429593,0.011285386
2016-11-15,0.003880709,0.006125876,0.003092531,0.007434427,0.002853069,0.00528526
2016-11-16,0.005482235,0.0001971,-7.73E-05,-0.001235227,0.002844952,0.023595395
2016-11-17,0.011980484,-0.00177433,0.005849819,0.005177722,0.001419447,-0.009738361
2016-11-18,-0.003074075,-0.003558052,0.005281543,-0.001969334,0.013385195,0
2016-11-21,0.00650589,0.006710109,0.004646076,0.007038843,0.004886572,0
2016-11-22,0.011798416,0.005101026,0.009077173,0.002362432,-0.005586607,-0.006442728
2016-11-23,0.000966907,-0.0054944,0.006230481,0.001057163,-0.000700525,0.029717166
2016-11-25,0.002413222,0.007840058,0.003287408,0.003651031,0.005590511,-0.003891638
2016-11-28,-0.007985544,0.002145338,-0.013063353,-0.004870996,-0.0013947,0.016657137
2016-11-29,0.002668804,0.001362866,-0.000529241,0.001382568,0.000697593,0.00881063
2016-11-30,-0.008394661,-0.016081988,-0.004926602,-0.001708186,0.004175371,0.009892429
2016-12-1,0.00048864,-0.006545741,-0.004874634,-0.004242047,-0.011173301,-0.005516054
2016-12-2,-0.005510225,0.006347981,-0.000534738,0.00032701,-0.001405482,-0.006132301
2016-12-5,0.010868855,0.001185728,0.017042659,0.006435588,0.012578782,0.007877502
2016-12-6,0.002305079,0.002958304,0.010756781,0.004051851,0,0.012131865
2016-12-7,0.019203709,0.014273309,0.009686279,0.012697085,0.01242252,0.00315322
2016-12-8,0,-0.004085102,0.015624186,0.002711243,0.003423488,0.001144165
2016-12-9,0.002256084,0.014321856,0.001954062,0.005321527,-0.004109595,-0.004871768
2016-12-12,-0.008337238,0.004027209,-0.010611967,-0.001585527,0.001371742,-0.005184343
2016-12-13,0.008930117,0.004582853,7.30E-05,0.006090525,0.002054092,0.002883508
2016-12-14,-0.006779558,-0.010918558,-0.012573335,-0.008632623,-0.001368926,-0.015378223
2016-12-15,-0.002389865,0.004228261,0.007445451,0.004206766,-0.009635312,0.024264622
2016-12-16,-0.004921829,0.005703063,-0.001837663,-0.001506068,-0.006243517,-0.008310694
2016-12-19,0.002656969,0.001919429,0.006527045,0.002060404,-0.001392758,0.004020683
2016-12-20,0.007928909,-0.001919429,0.008443845,0.003950371,-0.000697107,0.005715934
2016-12-21,-0.000478849,-0.000192181,-0.00654505,-0.002763553,-0.012631747,-0.009736618
2016-12-22,-0.010832945,-0.001538387,-0.008660229,-0.002156754,-0.003537322,0.002873565
2016-12-23,-0.002180912,0.00192277,0.005306492,0.001194336,0.003537322,-0.016782801
2016-12-27,0.003873736,-0.000192203,0.004473987,0.002384353,-0.000706464,-0.00350775
2016-12-28,-0.006910465,-0.006166904,-0.010298055,-0.008290195,0.011942537,0.007293978
2016-12-29,-0.001339034,0.004628735,0.000886966,0.0002401,-0.004900255,0.001162115
2016-12-30,-0.008440853,-0.005015414,-0.00384876,-0.004009245,0.007689657,0
