Date,SPY,EWU,EWA,EWH,50,52
2016-6-23,0.012938436,0.026945865,0.02737126,0.022080521,0.003084043,-0.010775073
2016-6-24,-0.036569564,-0.127421513,-0.055512674,-0.045190836,-0.00231214,0.014888612
2016-6-27,-0.018072219,-0.040621787,-0.030045166,-0.008537925,-0.026584834,-0.005488488
2016-6-28,0.017875275,0.041993626,0.027928748,0.014365766,0.010248414,0.022851919
2016-6-29,0.016884209,0.025711786,0.012631781,0.017801501,0.003913899,0.014684552
2016-6-30,0.013553369,0.026369336,0.017112188,0.015959122,0.010878118,0.005023143
2016-7-1,0.00209817,0,0.004616622,0.007631716,0.011525291,-0.008474627
2016-7-5,-0.007219201,-0.023700908,-0.020161005,-0.016867286,0.012148973,0.021574107
2016-7-6,0.005980054,-0.008698587,0.011938853,0.001030461,0.000754432,-0.003128261
2016-7-7,-0.000620492,-0.005390844,-0.007250186,-0.002577961,-0.00302115,0.017085583
2016-7-8,0.014780731,0.011421003,0.024134726,0.012314142,-0.018321123,-0.026793123
2016-7-11,0.003520862,0.013930608,0.010096015,0.004579047,0.012251302,0.008662608
2016-7-12,0.007237056,0.018923888,0.017919916,0.017111521,0.019593694,0
2016-7-13,-0.000139619,-0.001941206,-0.001481217,-0.001997974,0.008915364,0.005993503
2016-7-14,0.005568015,0.00838448,0.010322124,0.010445171,0.000739372,0.002594708
2016-7-15,-0.001342831,-0.006443274,-0.003428866,0.00148333,0.000738825,-0.001037076
2016-7-18,0.00268379,0.005800845,0.004894679,0.010322104,0.011747565,0.004658394
2016-7-19,-0.001017112,-0.01098559,-0.013271351,-0.003919646,0.009444313,-0.004139721
2016-7-20,0.004154292,0.008411605,0.005428169,0.015103888,0.001445087,0.005945474
2016-7-21,-0.003784393,-0.002580694,0.000983801,-0.000483731,-0.000722282,-0.020834087
2016-7-22,0.004475183,-0.001939851,-0.000983801,0.005307622,0.005045056,0.009168368
2016-7-25,-0.002719667,0.001293685,0.002948503,-0.002891601,-0.003601012,0.015267472
2016-7-26,0.000461515,0.001291947,0.008306831,0.017699579,-0.004338402,0.018573235
2016-7-27,-0.001061617,0.006435048,-0.000486702,-0.004752914,0.005780363,0.013022974
2016-7-28,0.001153938,-0.003212348,0.003402202,0,0.00431345,0.004220987
2016-7-29,0.001613194,0.003853607,0.013494074,-0.004296925,-0.009369438,-0.00297767
2016-8-1,-0.000829278,-0.010957233,-0.011070976,-0.002395188,-0.007267474,-0.018054653
2016-8-2,-0.00642788,0.008389824,-0.000968555,-0.003844304,0.0108815,0.012072581
2016-8-3,0.002918392,-0.003218585,-0.003883579,-0.005310234,0,0.029073247
2016-8-4,0.001063433,0.003861014,0.004852134,0.000483965,-0.00796817,0.002909798
2016-8-5,0.008145537,0.000642083,0.007234064,0.017266661,0.002179441,0
2016-8-8,-0.000595888,0.001282898,0.005272074,0.004270517,0.010108389,-0.003881616
2016-8-9,0.000595888,0.001281188,0.005244325,0.001419365,0.006444705,0.000971817
2016-8-10,-0.002478001,0.001279614,0.000475414,-0.004264447,0.00498399,0.011588734
2016-8-11,0.004629921,0.008911515,0.002847648,0.010392177,0.002836881,0.004311384
2016-8-12,-0.000869306,-0.00190287,-0.011439572,-0.003294933,-0.009249443,0.003102258
2016-8-15,0.002879714,0.001269026,0.00668896,0.005641875,0.00356761,0.006412562
2016-8-16,-0.005171109,0.005060127,-0.00047627,-0.006585185,0.002134473,-0.009036922
