Date,SPY,EWM,EWO,EWN,50,55
2016-8-2,-0.00642788,-0.006116311,-0.004029655,-0.005882385,0.0108815,0.002232975
2016-8-3,0.002918392,0.003674306,-0.008786819,0.000842437,0,-0.001488096
2016-8-4,0.001063433,0.002442005,0.003388769,0.003362757,-0.00796817,-0.001490313
2016-8-5,0.008145537,0.004866192,0.013440983,0.007108563,0.002179441,-0.00074599
2016-8-8,-0.000595888,0.003634215,0.006653413,0.002912386,0.010108389,0.008915364
2016-8-9,0.000595888,0.006027637,0.00989778,0.011976251,0.006444705,0.016868753
2016-8-10,-0.002478001,0.003599397,0.001312369,0.006138716,0.00498399,0.002904868
2016-8-11,0.004629921,0.011904783,0.002619581,0.006101304,0.002836881,0.010101096
2016-8-12,-0.000869306,-0.009512499,0.008466291,-0.002029579,-0.009249443,-0.005759555
2016-8-15,0.002879714,0.009512499,0.001943617,0.004459649,0.00356761,0.001443002
2016-8-16,-0.005171109,0.007075567,0.002585649,-0.003241407,0.002134473,-0.002165284
2016-8-17,0.001879277,-0.008259747,-0.000645736,0.000405751,-0.005702082,-0.001446132
2016-8-18,0.002241489,0.009434255,0.006439134,0.007678399,0.001428572,-0.002173127
2016-8-19,-0.001463315,-0.010619557,-0.003214417,-0.005247386,-0.002143624,0.010818714
2016-8-22,-4.58E-05,-0.008338458,-0.004517574,0.000809081,-0.010064787,-0.010093813
2016-8-23,0.002011586,-0.004796238,0.011575715,0.005645273,-0.007251663,-0.01607047
2016-8-24,-0.005128062,0.007185664,0.002554278,-0.004836805,0.010137668,0.008797711
2016-8-25,-0.000688855,0.002383793,-0.005756343,-0.001212907,-0.002886005,-0.005122587
2016-8-26,-0.001885137,-0.005970059,-0.001926146,-0.002835656,0.011494379,0.01094502
2016-8-29,0.004912333,0.005970059,0.005767345,0.005260042,0.001427552,0.00362188
2016-8-30,-0.001650102,-0.015597093,0.001915145,0.000806673,-0.000713521,0.001445087
2016-8-31,-0.002847995,-0.010942412,-0.00447426,0.001611685,-0.000714031,0.007910865
2016-9-1,4.58E-05,0,0.016518754,0.006820428,-0.008608375,-0.00215131
2016-9-2,0.004497962,0.007308197,0.006281454,0.01389742,-0.005055988,-0.005759555
2016-9-6,0.003017922,0.008459253,0.016765343,0.000394233,0.001447178,0.001443002
2016-9-7,-9.14E-05,0.003603625,0.004301125,-0.002367776,0.016493741,0.007183939
2016-9-8,-0.002285494,-0.006013266,0.008547022,-0.005546779,0.007793167,0.004285721
2016-9-9,-0.024225946,-0.021952112,-0.016549536,-0.025348434,0.014015646,0.009223194
2016-9-12,0.014245258,0.007371109,0.009228034,0.009328887,-0.003485539,0.004931324
2016-9-13,-0.014479815,-0.013555375,-0.019165996,-0.017101479,-0.016901811,-0.008468646
2016-9-14,-0.000375174,-0.00997515,-0.008147906,-0.000410751,-0.014306396,-0.01427576
2016-9-15,0.009943262,0.012453434,0.007523476,0.008183343,-0.007956642,-0.004322773
2016-9-16,-0.003873032,-0.004962759,-0.015104113,-0.016020052,0,-0.00361664
2016-9-19,0.000187418,-0.003738307,0.007580637,0.004956761,-0.005826673,-0.00581397
2016-9-20,4.68E-05,-0.001249269,-0.000629604,0.004521983,0.036576325,0.016624886
2016-9-21,0.011182828,0.024692625,0.0137589,0.014658268,-0.001409444,0
2016-9-22,0.00628169,0.003651846,0.014184606,0.011254207,0.004924386,0.003577821
2016-9-23,-0.005494388,-0.007317045,-0.003681014,-0.003202561,0.00210305,0.001427552
2016-9-26,-0.008135209,-0.008604867,-0.003694614,-0.010479791,0.006978395,0.00355999
2016-9-27,0.006188866,0.001233758,-0.004947439,0.001214705,-0.012596388,-0.007132698
2016-9-28,0.004951326,0.00981597,0.008027221,0.010066626,0.012596388,0.011388023
2016-9-29,-0.009088518,-0.00981597,-0.006788096,-0.013309389,-0.013300861,-0.011388023
2016-9-30,0.007517812,0,0.010471307,0.01730777,0.007022501,-0.002149768
2016-10-3,-0.002407046,0.004919997,-0.001226147,-0.001597361,0.00418995,0.006435489
2016-10-4,-0.005110766,-0.016079399,-0.004303769,0.003988893,-0.003490405,0.000712504
2016-10-5,0.004415547,0.009925644,0.009199673,0.004369304,0.002793298,-0.004282662
2016-10-6,0.000695219,0,-0.005509604,-0.002778338,-0.000697593,-0.001431639
2016-10-7,-0.003435332,-0.003710696,-0.003074164,-0.011191234,-0.00279525,-0.006467863
2016-10-10,0.005194925,0.008636816,0,0.000803555,0.011134423,0.009329095
2016-10-11,-0.012710054,-0.017348679,-0.007416465,-0.014970918,-0.007641579,-0.005730675
2016-10-12,0.001311182,0,-0.003106697,-0.000815639,-0.003492843,-0.006486509
2016-10-13,-0.003280965,-0.002503098,-0.004990585,-0.009840082,0,0
2016-10-14,0.000516278,-0.005025172,0.004368099,0.001235213,0.006973529,0.005048694
2016-10-17,-0.003478134,-0.005050485,0.001244586,-0.001235213,0.00554402,0.007168489
