Date,SPY,EWP,EWL,EWW,50,53
2016-12-1,-0.003682075,0.0031733,-0.006014546,-0.019453674,-0.011173301,-0.009879147
2016-12-2,0.000500783,-0.002776112,0.004602584,-0.001156164,-0.001405482,-0.003429359
2016-12-5,0.005990706,0.01771349,0.011589244,0.011044743,0.012578782,0.013308506
2016-12-6,0.003162533,0.029600506,0.007305703,0.014539054,0,0.003384098
2016-12-7,0.01299586,0.013544278,0.003805516,0.014775318,0.01242252,0.004045859
2016-12-8,0.002445811,0.002612415,-0.00797362,0.012148146,0.003423488,0.000336417
2016-12-9,0.006022165,0.000372618,0.013826645,0.006346419,-0.004109595,0.003022672
2016-12-12,-0.001148483,0.002604715,-0.005162605,0.008039126,0.001371742,-0.005717184
2016-12-13,0.00665182,0.015121013,0.015408575,0.001081461,0.002054092,0.007727235
2016-12-14,-0.008288493,-0.020710761,-0.013684732,-0.024508899,-0.001368926,0.000334616
2016-12-15,0.004108802,0.004846159,-0.003105054,-0.001108241,-0.009635312,-0.006040287
2016-12-16,-0.001957725,0.006302189,0.006543816,-0.016096927,-0.006243517,-0.003709328
2016-12-19,0.002175009,-0.007046178,0,-0.002482251,-0.001392758,-0.009163478
2016-12-20,0.003850168,0.007415629,0.0027425,-0.004528954,-0.000697107,-0.002047782
2016-12-21,-0.002786545,0.001552484,-0.000753845,-0.007805001,-0.012631747,-0.005481343
2016-12-22,-0.001728929,-0.005691498,0.002054763,-0.005992257,-0.003537322,-0.001375043
2016-12-23,0.00146313,0.005313068,0.000684042,0.010119745,0.003537322,-0.002410885
2016-12-27,0.002478035,0,0,-0.005967431,-0.000706464,0.001033948
2016-12-28,-0.008298964,-0.012569203,-0.004111008,0.006425019,0.011942537,0.007891618
2016-12-29,-0.000222723,0.008016804,0.006160156,0.01114529,-0.004900255,-0.001025816
2016-12-30,-0.00366176,0.007953121,0.005104645,-0.005443357,0.007689657,0.003756194
