Date,SPY,EWK,XLF,DIA,50,56
2016-8-22,-4.58E-05,-0.000544586,0,-0.001079749,-0.010064787,-0.002835732
2016-8-23,0.002011586,0.004889963,0.001248754,0.000971868,-0.007251663,-0.01430055
2016-8-24,-0.005128062,-0.003801199,-0.000416078,-0.003459845,0.010137668,0.004516534
2016-8-25,-0.000688855,-0.003815815,0.002078593,-0.001571681,-0.002886005,-0.000409752
2016-8-26,-0.001885137,-0.005476515,0.001244922,-0.002987474,0.011494379,0.010599365
2016-8-29,0.004912333,0.004930144,0.008672472,0.00547936,0.001427552,0.001620746
2016-8-30,-0.001650102,-0.003832529,0.009005505,-0.001732992,-0.000713521,-0.004056801
2016-8-31,-0.002847995,-0.003296578,0.000814566,-0.003093967,-0.000714031,0.005674924
2016-9-1,4.58E-05,0.008767214,-0.004080017,0.000869348,-0.008608375,-0.003644466
2016-9-2,0.004497962,0.011391556,0.004487184,0.004119927,-0.005055988,-0.010603688
2016-9-6,0.003017922,0.012329215,-0.001629332,0.002485206,0.001447178,0.00040992
2016-9-7,-9.14E-05,0.001597012,-0.000407832,0,0.016493741,0.010193768
2016-9-8,-0.002285494,-0.001597012,-0.000816029,-0.002701601,0.007793167,0.008483186
2016-9-9,-0.024225946,-0.021540869,-0.018953955,-0.021382766,0.014015646,0.005615739
2016-9-12,0.014245258,0.009211655,0.011168555,0.013124416,-0.003485539,0.003194891
2016-9-13,-0.014479815,-0.016862192,-0.017846325,-0.013732627,-0.016901811,-0.005196894
2016-9-14,-0.000375174,0.003285971,-0.002515765,-0.002048617,-0.014306396,-0.01290861
2016-9-15,0.009943262,0.008709943,0.005860053,0.010091248,-0.007956642,-0.003253358
2016-9-16,-0.003873032,-0.007617014,-0.008417658,-0.005156987,0,-0.007358987
2016-9-19,0.000187418,0.005446686,0.269780635,5.50E-05,-0.005826673,-0.000821018
2016-9-20,4.68E-05,0.004336067,0.0005177,0.00038674,0.036576325,0.017101394
2016-9-21,0.011182828,0.016094748,0.006192006,0.008853564,-0.001409444,0.00121041
2016-9-22,0.00628169,0.010587698,0.002055476,0.00545968,0.004924386,0.006030169
2016-9-23,-0.005494388,-0.000526801,-0.005146791,-0.006774667,0.00210305,0.002401923
2016-9-26,-0.008135209,-0.005282681,-0.016124874,-0.009196715,0.006978395,0.00039976
2016-9-27,0.006188866,-0.000529654,0.007834763,0.006891775,-0.012596388,-0.006817752
2016-9-28,0.004951326,0.008968664,0.00467172,0.0060257,0.012596388,0.010010094
2016-9-29,-0.009088518,-0.018018494,-0.014080989,-0.010320634,-0.013300861,0
2016-9-30,0.007517812,0.008519786,0.013562915,0.008571494,0.007022501,-0.001994019
2016-10-3,-0.002407046,-0.005849643,-0.004674094,-0.002519763,0.00418995,0.000798085
2016-10-4,-0.005110766,-0.002670143,0.004155962,-0.004618267,-0.003490405,0.001195934
2016-10-5,0.004415547,0.006396471,0.015942587,0.006481397,0.002793298,0
2016-10-6,0.000695219,-0.007466594,0.001529555,-0.000766886,-0.000697593,-0.001594897
2016-10-7,-0.003435332,-0.002143687,-0.000509523,-0.001645115,-0.00279525,-0.007208682
2016-10-10,0.005194925,0.000536298,0.00508389,0.004927079,0.011134423,0.003610836
2016-10-11,-0.012710054,-0.008615969,-0.009169755,-0.010540217,-0.007641579,-0.004012846
2016-10-12,0.001311182,-0.004336067,-0.001024106,0.000937497,-0.003492843,-0.00847976
2016-10-13,-0.003280965,0.002170328,-0.00978131,-0.002926496,0,0.001215806
2016-10-14,0.000516278,-0.000542113,0.004645197,0.002485413,0.006973529,0.004848494
2016-10-17,-0.003478134,-0.001085219,-0.004645197,-0.003148917,0.00554402,0.005627024
2016-10-18,0.006242822,0.007571699,0.008243233,0.00359,0.004137937,0.002401923
2016-10-19,0.002663573,-0.001078088,0.008684686,0.003467714,-0.000688468,-0.00039992
2016-10-20,-0.00186843,-0.004866278,0,-0.00253075,0.001376463,0.003593536
2016-10-21,0.000467325,-0.005434845,-0.000508745,-0.000772217,0.009582551,0.01030937
2016-10-24,0.004243867,-0.00272854,0.003048594,0.004075302,-0.005464494,-0.063513406
2016-10-25,-0.003356316,-0.002188137,-0.001015166,-0.002641625,-0.005494519,-0.001682794
2016-10-26,-0.002009729,-0.00935357,0.006075952,0.001596727,0,0
2016-10-27,-0.002670383,0.000552712,0.002520847,-0.001321065,0,0.00210305
2016-10-28,-0.002959779,-0.008879059,-0.004542048,-0.000937032,0,-0.004210533
