Date,SPY,EWJ,EWC,EWG,50,51
2016-9-7,-9.14E-05,0.004777102,-0.003828482,0.003739707,0.016493741,0.006435759
2016-9-8,-0.002285494,-0.004777102,-0.001919732,-0.005239645,0.007793167,0.012375931
2016-9-9,-0.024225946,-0.016090494,-0.026086712,-0.022003878,0.014015646,0.006316202
2016-9-12,0.014245258,0.008077661,0.003543967,0.006880846,-0.003485539,0.00554018
2016-9-13,-0.014479815,-0.017857632,-0.026689504,-0.013423051,-0.016901811,-0.008879082
2016-9-14,-0.000375174,-0.006573561,-0.000807745,-0.000386276,-0.014306396,-0.015353232
2016-9-15,0.009943262,0.004934139,0.013643874,0.008078634,-0.007956642,-0.006815627
2016-9-16,-0.003873032,-0.008237248,-0.007200068,-0.022472888,0,0.002277041
2016-9-19,0.000187418,0.003303109,0.003606535,0.006250062,-0.005826673,-0.008756957
2016-9-20,4.68E-05,0.013917466,0.000799711,0.004274389,0.036576325,0.020439773
2016-9-21,0.011182828,0.028848189,0.020570304,0.013479723,-0.001409444,0.007465507
2016-9-22,0.00628169,0.012559028,0.008965148,0.015186423,0.004924386,0.002599816
2016-9-23,-0.005494388,-0.014139949,-0.013281408,-0.003775001,0.00210305,0.001112141
2016-9-26,-0.008135209,-0.008740708,-0.009085598,-0.016396987,0.006978395,-0.021723701
2016-9-27,0.006188866,0.011111244,-0.000793957,-0.002309407,-0.012596388,0.019126778
2016-9-28,0.004951326,-0.001579834,0.019662498,0.009969318,0.012596388,0.004447746
2016-9-29,-0.009088518,-0.007140007,-0.002729626,-0.020039144,-0.013300861,0.002954212
2016-9-30,0.007517812,-0.001593599,0.003118953,0.022325785,0.007022501,-0.004805036
2016-10-3,-0.002407046,-0.00319494,-0.001948315,-0.004196086,0.00418995,0.004067301
2016-10-4,-0.005110766,-0.005615697,-0.016119881,0.004576659,-0.003490405,-0.002956395
2016-10-5,0.004415547,0.006415415,0.008682079,0.004176966,0.002793298,0.001109673
2016-10-6,0.000695219,-0.004807724,-0.003936966,-0.004557539,-0.000697593,-0.002961868
2016-10-7,-0.003435332,0,-0.00831859,-0.007258935,-0.00279525,-0.010061572
2016-10-10,0.005194925,0.003207669,0.010682629,0.006497354,0.011134423,0.005602256
2016-10-11,-0.012710054,-0.008846003,-0.00750558,-0.010724035,-0.007641579,0.005571045
2016-10-12,0.001311182,-0.001616953,0.001980729,-0.007342979,-0.003492843,-0.01492565
2016-10-13,-0.003280965,-0.001619324,0.004343449,-0.005445402,0,-0.007547206
2016-10-14,0.000516278,0,0.001574865,0.005057407,0.006973529,0.011299555
2016-10-17,-0.003478134,0.000810062,0.00274996,-0.003888016,0.00554402,-0.001874415
2016-10-18,0.006242822,0.005652074,0.009759948,0.008533698,0.004137937,-0.000750751
2016-10-19,0.002663573,0.003215322,0.006968705,0.001929496,-0.000688468,0.001875821
2016-10-20,-0.00186843,0.008789517,-0.006968705,0,0.001376463,0.003741119
2016-10-21,0.000467325,0,-0.001555152,-0.003862565,0.009582551,0.001492538
2016-10-24,0.004243867,0.00158988,-0.00468018,0.003091253,-0.005464494,0.002978409
2016-10-25,-0.003356316,0.000793983,-0.000782237,0.000385711,-0.005494519,0
2016-10-26,-0.002009729,-0.001588617,-0.003527379,-0.005026082,0,-0.003351334
2016-10-27,-0.002670383,0.001588617,0.001569305,0,0,-0.006361107
2016-10-28,-0.002959779,0.001585956,-0.002354801,0.002322897,0,-0.000751033
2016-10-31,4.71E-05,0.000792096,-0.003936966,0.001931575,-0.011777067,-0.01934443
2016-11-1,-0.007271753,-0.00396667,0.001182638,-0.007749025,-0.007695036,-0.010781776
2016-11-2,-0.006036861,-0.006379603,-0.011093566,-0.007809462,-0.002812941,-0.001549787
2016-11-3,-0.004587624,0.002397136,-0.001196001,-0.005503156,0.013986242,0.00618479
2016-11-4,-0.00110222,-0.012043476,-0.005599908,-0.00712025,0.004849334,0.000385282
2016-11-7,0.021817294,0.007042995,0.012754269,0.014581496,-0.033020211,-0.028126854
2016-11-8,0.004493775,-0.001203848,0.006316607,0.003125024,0.028170877,0.030051042
2016-11-9,0.010546283,-0.008467904,0.001572927,0.000389962,-0.027456846,-0.019802627
2016-11-10,0.002492393,0.000809653,-0.005911398,-0.003123843,0.000713521,0.013632149
2016-11-11,-0.002307582,0.001415106,-0.017946553,-0.003133552,-0.002857145,-0.015202008
2016-11-14,0.000785191,0.001211383,0.001608263,-0.009856187,0.001429593,0.009382399
2016-11-15,0.007772467,0.001612877,0.019101356,0.004743204,0.002853069,-0.004289342
2016-11-16,-0.001880101,-0.004846477,-0.001972833,-0.0119003,0.002844952,0
2016-11-17,0.005127548,0.014868633,0.003941702,0.00119648,0.001419447,0.003900161
2016-11-18,-0.002240073,-0.015071175,0.001572269,-0.009209316,0.013385195,0.011994727
2016-11-21,0.007523139,0.008066238,0.020218457,0.006415421,0.004886572,-0.025317808
2016-11-22,0.001951339,0.002407234,0,0.002793894,-0.005586607,0.001182732
2016-11-23,0.00054378,0,-0.001926389,-0.011222638,-0.000700525,-0.014685717
2016-11-25,0.003708587,-0.008450702,-0.001930225,0.006428309,0.005590511,0.025657614
2016-11-28,-0.004705845,0.008651072,0.000772608,-0.010467073,-0.0013947,0.001557633
2016-11-29,0.001948352,0.001001148,-0.001932384,0.008462669,0.000697593,0
2016-11-30,-0.002402109,-0.00160238,0.006170445,-0.003618016,0.004175371,0
2016-12-1,-0.003682075,-0.008454022,0.003837297,-0.00605942,-0.011173301,-0.00233736
2016-12-2,0.000500783,0.00302749,0.004585396,0.002428143,-0.001405482,-0.007830894
2016-12-5,0.005990706,-0.001209937,0.003425311,0.023962846,0.012578782,0.008610621
2016-12-6,0.003162533,0.004429285,0.001518663,0.008644392,0,-0.006254907
2016-12-7,0.01299586,0.014755945,0.010941389,0.023202935,0.01242252,0.008979174
2016-12-8,0.002445811,0.011415197,0.007849138,-0.003446341,0.003423488,0.001553398
2016-12-9,0.006022165,0.002931219,0.002973982,0.000766876,-0.004109595,-0.000776398
2016-12-12,-0.001148483,-0.009804022,0.002224593,0.000766367,0.001371742,0.00310198
2016-12-13,0.00665182,0.011753294,0.006276559,0.008770236,0.002054092,0.002706362
2016-12-14,-0.008288493,-0.015504117,-0.0219543,-0.012223189,-0.001368926,-0.005420067
2016-12-15,0.004108802,0,-0.00188294,0,-0.009635312,0
2016-12-16,-0.001957725,-0.008740708,0.002259049,0.004218576,-0.006243517,-0.02158216
2016-12-19,0.002175009,0.008542793,-0.0056572,-0.002682467,-0.001392758,0.011437711
2016-12-20,0.003850168,0.000988617,0.005281091,0.003447622,-0.000697107,0
2016-12-21,-0.002786545,-0.005352451,-0.000646189,0.005683672,-0.012631747,-0.007874056
2016-12-22,-0.001728929,-0.001609372,-0.003427946,-0.000761011,-0.003537322,-0.002770633
2016-12-23,0.00146313,0.001810316,-0.005355801,0.001521443,0.003537322,-0.001189768
2016-12-27,0.002478035,-0.006249339,0,0.001898651,-0.000706464,0.09531018
2016-12-28,-0.008298964,-0.001416531,-0.001919704,-0.006852004,0.011942537,-0.089375444
2016-12-29,-0.000222723,-0.010177212,0.005748245,0.006092937,-0.004900255,0.0003944
2016-12-30,-0.00366176,-0.000409228,-0.000764544,0.00530106,0.007689657,0.010590411
