Date,SPY,EWI,EWS,EWD,50,54
2016-8-5,0.001613194,0.019856193,-0.00274356,0.008599107,-0.009369438,-0.006457587
2016-8-8,-0.000829278,-0.022594696,0.00274356,-0.010039594,-0.007267474,0.013330466
2016-8-9,-0.00642788,-0.016590261,-0.011019548,-0.0036101,0.0108815,0
2016-8-10,0.002918392,-0.000929745,0,-0.003986169,0,-0.006872879
2016-8-11,0.001063433,0.00185877,0.000923008,0.008316846,-0.00796817,0
2016-8-12,0.008145537,0.015661236,0,0.003594454,0.002179441,0.005502077
2016-8-15,-0.000595888,0.006378153,0.008268289,0.001075836,0.010108389,-0.000914913
2016-8-16,0.000595888,0.007239936,0.002740958,0.022329538,0.006444705,-0.003208804
2016-8-17,-0.002478001,0.008082606,-0.000912707,0.006289265,0.00498399,0.010050336
2016-8-18,0.004629921,0.005352382,0.006372328,0.008324767,0.002836881,0
2016-8-19,-0.000869306,0.003552329,-0.010949119,-0.00242096,-0.009249443,-0.006383971
2016-8-22,0.002879714,0.004422887,0.009132539,0.004835931,0.00356761,-0.004125608
2016-8-23,-0.005171109,-0.007085939,-0.00546948,-0.006221872,0.002134473,0.012779727
2016-8-24,0.001879277,-0.004454317,-0.004580792,-0.003473491,-0.005702082,-0.000453618
2016-8-25,0.002241489,0.00800354,0.005494523,0.011072783,0.001428572,0.001813237
2016-8-26,-0.001463315,-0.02058232,-0.007332761,-0.009334458,-0.002143624,-0.004539272
2016-8-29,-4.58E-05,0.002708831,-0.008314214,-0.000695038,-0.010064787,0.001363947
2016-8-30,0.002011586,0.016100497,0.003703759,0.005545979,-0.007251663,-0.007753745
2016-8-31,-0.005128062,0.00088682,0.004610455,0.002761498,0.010137668,0.005023989
2016-9-1,-0.000688855,-0.004442444,0.008245467,-0.006224094,-0.002886005,0.001820665
2016-9-2,-0.001885137,-0.003568266,-0.016559682,-0.00696144,0.011494379,-0.002732242
2016-9-5,0.004912333,-0.000894002,-0.000928051,0.009386452,0.001427552,-0.005486982
2016-9-6,-0.001650102,0.003571497,-0.010266105,-0.007641525,-0.000713521,-0.003214699
2016-9-7,-0.002847995,0.006219386,-0.006588289,-0.004192907,-0.000714031,-0.000460087
2016-9-8,4.58E-05,0.007061013,0.004710451,0.005586574,-0.008608375,0.005507127
2016-9-9,0.004497962,0.008756558,0,0.007631065,-0.005055988,0
2016-9-10,0.003017922,0.002612129,0.042324608,0.011679942,0.001447178,0.008658063
2016-9-12,-9.14E-05,0.006932385,-0.003610162,0.004089944,0.016493741,0.007233305
2016-9-13,-0.002285494,0.011163754,-0.006349209,-0.00136141,0.007793167,-0.009504484
2016-9-14,-0.024225946,-0.025953087,-0.023942279,-0.018216693,0.014015646,0.003178209
2016-9-19,0.014245258,0.003499585,0.002792073,0.010008727,-0.003485539,-0.004998874
2016-9-20,-0.014479815,-0.029244359,-0.024460366,-0.018718072,-0.016901811,-0.017463679
2016-9-21,-0.000375174,-0.002701467,0.00380224,0.002097148,-0.014306396,0.006469523
2016-9-22,0.009943262,0.006292062,0.011320935,0.009729122,-0.007956642,0.011904903
2016-9-23,-0.003873032,-0.032789765,-0.005644373,-0.016736835,0,0.010864752
2016-9-26,0.000187418,0.011049848,0.008454706,0.004910565,-0.005826673,0.005388428
2016-9-29,4.68E-05,-0.009199817,0.002802409,-0.002803033,0.036576325,0.001342582
2016-9-30,0.011182828,0.021034279,0.01848483,0.013937389,-0.001409444,-0.013054428
2016-10-3,0.00628169,0.009905455,-0.004589201,0.011011887,0.004924386,-0.015985725
2016-10-4,-0.005494388,-0.012624105,-0.012031645,-0.006523655,0.00210305,-0.00230468
2016-10-5,-0.008135209,-0.011866872,-0.003731351,-0.010387941,0.006978395,-0.010670479
2016-10-6,0.006188866,-0.004601906,0.008375972,0.002086353,-0.012596388,0.009285118
