Date,026_XLI_1d_actual_lnrts,026_XLI_1d_forecast_lnrts,026_XLI_1d_true_label,026_XLI_1d_forecast_label
2016-06-20,0.009109753367721674,-0.003934219945222139,1.0,-1.0
2016-06-21,-0.0007116356612048135,-0.007084385491907597,-1.0,-1.0
2016-06-22,-0.0028509222266648406,-0.0014817658811807632,-1.0,-1.0
2016-06-23,0.011531992455958394,-0.004170005209743977,1.0,-1.0
2016-06-24,-0.041601291636618076,-0.007083210162818432,-1.0,-1.0
2016-06-27,-0.02381963456900424,-0.004717680625617504,-1.0,-1.0
2016-06-28,0.01680726994886743,-0.006437868811190128,1.0,-1.0
2016-06-29,0.017621578457123987,-0.006734101101756096,1.0,-1.0
2016-06-30,0.018924565010985404,-0.004177505616098642,1.0,-1.0
2016-07-01,0.003208554883943418,-0.003950785845518112,1.0,-1.0
2016-07-05,-0.00911782369793097,-0.005282378755509853,-1.0,-1.0
2016-07-06,0.0050162193329089996,-0.004420145880430937,1.0,-1.0
2016-07-07,0.0026769239066854415,-0.004907847382128239,1.0,-1.0
2016-07-08,0.019764124877197687,-0.008067598566412926,1.0,-1.0
2016-07-11,0.0062707150094429105,-0.010147257708013058,1.0,-1.0
2016-07-12,0.009160876747066034,-0.002439926378428936,1.0,-1.0
2016-07-13,0.0024059274236590865,-0.005087997764348984,1.0,-1.0
2016-07-14,0.007524035695082247,-0.011353066191077232,1.0,-1.0
2016-07-15,-0.0001703807757568608,-0.007779605686664581,-1.0,-1.0
2016-07-18,-0.0008523745778265779,-0.0020764614455401897,-1.0,-1.0
2016-07-19,0.0005114385007545751,-0.007032819092273712,1.0,-1.0
2016-07-20,0.0018731619537445444,-0.009567507542669773,1.0,-1.0
2016-07-21,-0.01026003040615366,-0.006447398103773594,-1.0,-1.0
2016-07-22,0.0018889934748575617,-0.001226053573191166,1.0,-1.0
2016-07-25,-0.005332554233221868,-0.007199009880423546,-1.0,-1.0
2016-07-26,0.008244679093323513,-0.005669234320521355,1.0,-1.0
2016-07-27,-0.00394207779025328,-0.005586151033639908,-1.0,-1.0
2016-07-28,-0.0003434889036619703,-0.005051459185779095,-1.0,-1.0
2016-07-29,-0.0029247207413998374,-0.006650181487202644,-1.0,-1.0
2016-08-01,-0.0012068353616571813,-0.005162684712558985,-1.0,-1.0
2016-08-02,-0.009358755333278311,-0.002432495355606079,-1.0,-1.0
2016-08-03,0.004863612017870801,-0.0056108348071575165,1.0,-1.0
2016-08-04,0.00034653544999162456,-0.006588228978216648,1.0,-1.0
2016-08-05,0.00999655298725173,-0.0028297388926148415,1.0,-1.0
2016-08-08,0.0013711583741281312,-0.007841440849006176,1.0,-1.0
2016-08-09,-0.0003427407755853708,-0.007077723741531372,-1.0,-1.0
2016-08-10,-0.0005140150594223914,-0.003170869778841734,-1.0,-1.0
2016-08-11,0.0064924641911707675,-0.0035749804228544235,1.0,-1.0
2016-08-12,-0.0027285636672344767,-0.0024833660572767258,-1.0,-1.0
2016-08-15,0.006637810000827392,-0.005676754750311375,1.0,-1.0
2016-08-16,-0.004420249194225653,-0.008365183137357235,-1.0,-1.0
2016-08-17,0.0028923757111919885,-0.006770883686840534,1.0,-1.0
2016-08-18,0.0030533640109448082,-0.004783972166478634,1.0,-1.0
2016-08-19,-0.0003387060870937525,-0.004573257640004158,-1.0,-1.0
2016-08-22,-0.0008476762121770939,-0.0062924642115831375,-1.0,-1.0
2016-08-23,0.0008476762121770965,-0.00438724597916007,1.0,-1.0
2016-08-24,-0.0030545394154795425,-0.005744472146034241,-1.0,-1.0
2016-08-25,-0.00016999279284397062,-0.003969966899603605,-1.0,-1.0
2016-08-26,-0.0028939054278146617,-0.0038702664896845818,-1.0,-1.0
2016-08-29,0.007134541786598126,-0.004526043310761452,1.0,-1.0
2016-08-30,-0.0027118972078925036,-0.0037750652991235256,-1.0,-1.0
2016-08-31,-0.005616646870460895,-0.005383190233260393,-1.0,-1.0
2016-09-01,0.0008530317150237221,-0.004357559606432915,1.0,-1.0
2016-09-02,0.0049332612678923094,9.404728189110756e-05,1.0,1.0
2016-09-06,-0.0028889177099320645,-0.0011979271657764912,-1.0,-1.0
2016-09-07,0.0011905324465858028,-0.00198741490021348,1.0,-1.0
2016-09-08,-0.0008502755500468685,-0.004285072907805443,-1.0,-1.0
2016-09-09,-0.028647342867794807,-0.00629725307226181,-1.0,-1.0
2016-09-12,0.012699146568677449,-0.0022800182923674583,1.0,-1.0
2016-09-13,-0.014802248140804398,-0.004177509807050228,-1.0,-1.0
2016-09-14,-0.000877513862245889,-0.00154359289444983,-1.0,-1.0
2016-09-15,0.007870684030589277,-0.0027638268657028675,1.0,-1.0
2016-09-16,-0.00841654813998124,-0.00654535461217165,-1.0,-1.0
2016-09-19,0.00440637052292038,-0.004650406539440155,1.0,-1.0
2016-09-20,0.0008790099001417359,-0.0022006812505424023,1.0,-1.0
2016-09-21,0.012919193402707588,-0.003796278964728117,1.0,-1.0
