Date,019_EWK_1d_actual_lnrts,019_EWK_1d_forecast_lnrts,019_EWK_1d_true_label,019_EWK_1d_forecast_label
2016-06-03,0.011269241640922264,0.001592705026268959,1.0,1.0
2016-06-06,0.004259809499844759,-0.0003794413059949875,1.0,-1.0
2016-06-07,0.004241795242963631,-0.0008576661348342896,1.0,-1.0
2016-06-08,0.005277038938056875,-2.287607640028e-05,1.0,-1.0
2016-06-09,-0.010050312186839721,0.001909184269607067,-1.0,1.0
2016-06-10,-0.030771698225854283,0.0022139749489724636,-1.0,1.0
2016-06-13,-0.02161329736828366,0.0008891550824046135,-1.0,1.0
2016-06-14,-0.019231422179077074,0.002790869912132621,-1.0,1.0
2016-06-15,0.0034206731195103486,0.0036551128141582012,1.0,1.0
2016-06-16,0.002841590999009296,0.0051027885638177395,1.0,1.0
2016-06-17,0.00960205889060786,0.005902187433093786,1.0,1.0
2016-06-20,0.018931468810597242,0.005929287523031235,1.0,1.0
2016-06-21,0.006048927727635676,0.0021507171913981438,1.0,1.0
2016-06-22,-0.005153267407701375,0.003657957073301077,-1.0,1.0
2016-06-23,0.024692554146899807,0.0016691565979272127,1.0,1.0
2016-06-24,-0.08302821300825974,-0.00012443820014595985,-1.0,-1.0
2016-06-27,-0.023236092429478147,0.004144890233874321,-1.0,1.0
2016-06-28,0.023236092429478283,0.0027506998740136623,1.0,1.0
2016-06-29,0.018670334534223666,0.0019453053828328848,1.0,1.0
2016-06-30,0.023422824229706537,0.0004205252043902874,1.0,1.0
2016-07-01,0.0016926332796360064,-7.076049223542213e-05,1.0,-1.0
2016-07-05,-0.02858967773231012,0.004988811444491148,-1.0,1.0
2016-07-06,-0.004651189504042639,0.0011281443294137716,-1.0,1.0
2016-07-07,-0.006430900754853914,0.0007749279029667377,-1.0,1.0
2016-07-08,0.015134135952105174,0.0024722616653889418,1.0,1.0
2016-07-11,0.006908576729193305,-0.0011004358530044556,1.0,-1.0
2016-07-12,0.010274073715865622,0.0034771966747939587,1.0,1.0
2016-07-13,0.0034013479822784308,-0.0005546952597796917,1.0,-1.0
2016-07-14,0.0005657295250926395,-0.0020441338419914246,1.0,-1.0
2016-07-15,-0.005103474882777725,-0.0009857909753918648,-1.0,-1.0
2016-07-18,0.003405092518338775,0.004398318938910961,1.0,1.0
2016-07-19,-0.003973717432860776,0.0010316604748368263,-1.0,1.0
2016-07-20,0.0022726787872425266,0.0004330351948738098,1.0,1.0
2016-07-21,-0.010841730213179612,0.0019483277574181557,-1.0,1.0
2016-07-22,0.006291137254115529,0.005085746292024851,1.0,1.0
2016-07-25,0.003982936461750202,0.00019429856911301613,1.0,1.0
2016-07-26,0.002268695142932037,0.001896194415166974,1.0,1.0
2016-07-27,-0.0034050925183387896,0.0013778596185147762,-1.0,1.0
2016-07-28,0.015232946679987832,0.0007260232232511044,1.0,1.0
2016-07-29,0.016657892015848073,-0.0008207312785089016,1.0,-1.0
2016-08-01,-0.016098064222853016,0.0018285415135324001,-1.0,1.0
2016-08-02,-0.0067377819101620525,0.00117851747199893,-1.0,1.0
2016-08-03,-0.0045172472051359875,-0.0004524313844740391,-1.0,-1.0
2016-08-04,0.003953633611764402,-0.00203516473993659,1.0,-1.0
2016-08-05,0.00506043181239197,-0.0027963006868958473,1.0,-1.0
2016-08-08,0.0,-0.0016622012481093407,0.0,-1.0
2016-08-09,0.00559290662428202,-0.00024453550577163696,1.0,-1.0
2016-08-10,0.00278476665533119,0.0021372155752032995,1.0,1.0
2016-08-11,0.007756330136729549,0.0010058563202619553,1.0,1.0
2016-08-12,0.00714870839244011,0.0017872992902994156,1.0,1.0
2016-08-15,0.0060093146954903875,0.0016400087624788284,1.0,1.0
2016-08-16,-0.0027270512192162275,-0.0010036146268248558,-1.0,-1.0
2016-08-17,0.0,-0.003070427104830742,0.0,-1.0
2016-08-18,0.006532494370274093,-0.000420489814132452,1.0,-1.0
2016-08-19,-0.00326085710644018,0.00025123218074440956,-1.0,1.0
2016-08-22,-0.0005445860446178079,0.0025383038446307182,-1.0,1.0
2016-08-23,0.004889962648028196,-0.0001590265892446041,1.0,-1.0
2016-08-24,-0.003801198716191235,-0.001055899541825056,-1.0,-1.0
2016-08-25,-0.0038158151510531892,0.00150638772174716,-1.0,1.0
2016-08-26,-0.005476514780625046,-0.000937312375754118,-1.0,-1.0
2016-08-29,0.004930143642693666,-0.00033806078135967255,1.0,-1.0
2016-08-30,-0.0038325288126234125,0.0013083131052553654,-1.0,1.0
2016-08-31,-0.003296578426766539,0.00042733829468488693,-1.0,1.0
2016-09-01,0.00876721385394694,0.0026604963932186365,1.0,1.0
2016-09-02,0.011391556395998847,0.00485173799097538,1.0,1.0
2016-09-06,0.012329214531503556,0.0019693325739353895,1.0,1.0
2016-09-07,0.0015970118456099238,0.0010992330498993397,1.0,1.0
2016-09-08,-0.001597011845609826,-8.48020426928997e-05,-1.0,-1.0
2016-09-09,-0.021540869140293857,-0.0028787218034267426,-1.0,-1.0
2016-09-12,0.009211654608790237,-0.00021926499903202057,1.0,-1.0
2016-09-13,-0.016862191823179096,-9.774230420589447e-06,-1.0,-1.0
2016-09-14,0.003285971284813069,0.0017178684938699007,1.0,1.0
2016-09-15,0.008709942532986301,6.73104077577591e-05,1.0,1.0
2016-09-16,-0.007617013867244408,-0.0013945368118584156,-1.0,-1.0
2016-09-19,0.005446685850910323,0.00040359562262892723,1.0,1.0
2016-09-20,0.004336066988017486,0.0006976146250963211,1.0,1.0
2016-09-21,0.01609474789714183,0.002087620785459876,1.0,1.0
2016-09-22,0.010587698332684333,0.0028174438048154116,1.0,1.0
2016-09-23,-0.0005268013336812673,0.0006553260609507561,-1.0,1.0
2016-09-26,-0.005282680724392713,0.0006041093729436398,-1.0,1.0
2016-09-27,-0.0005296538105833077,-0.0027550309896469116,-1.0,-1.0
2016-09-28,0.008968664151876582,-0.000869260635226965,1.0,-1.0
2016-09-29,-0.018018493734894708,-0.0013834680430591106,-1.0,-1.0
2016-09-30,0.008519786189739635,-0.00038133980706334114,1.0,-1.0
2016-10-03,-0.005849643156885364,-0.0024947342462837696,-1.0,-1.0
2016-10-04,-0.0026701430328541905,0.0004807775840163231,-1.0,1.0
2016-10-05,0.00639647128426807,-0.0009183851070702076,1.0,-1.0
2016-10-06,-0.00746659397685599,0.002348304260522127,-1.0,1.0
2016-10-07,-0.002143687012385783,0.002802444389089942,-1.0,1.0
2016-10-10,0.0005362976616288773,0.0015061416197568178,1.0,1.0
2016-10-11,-0.008615968734806037,0.0005697938613593578,-1.0,1.0
2016-10-12,-0.004336066988017481,0.0005706297233700752,-1.0,1.0
2016-10-13,0.0021703280163339624,-0.0018521645106375217,1.0,-1.0
2016-10-14,-0.000542112725674829,0.005449766758829355,-1.0,1.0
2016-10-17,-0.0010852194095679695,0.003132957499474287,-1.0,1.0
2016-10-18,0.007571698513422186,0.0014961694832891226,1.0,1.0
2016-10-19,-0.0010780883727996215,0.00042563723400235176,-1.0,1.0
2016-10-20,-0.004866278005379742,-0.00045619625598192215,-1.0,-1.0
2016-10-21,-0.005434845428211401,-0.0015083891339600086,-1.0,-1.0
2016-10-24,-0.002728539576964573,0.0004985504783689976,-1.0,1.0
2016-10-25,-0.0021881372302984805,0.0011987234465777874,-1.0,1.0
2016-10-26,-0.009353570443436153,0.0005539329722523689,-1.0,1.0
2016-10-27,0.0005527119731337024,-0.0016646534204483032,1.0,-1.0
2016-10-28,-0.008879059060281282,0.0026201445143669844,-1.0,1.0
2016-10-31,-0.0022322097890106964,0.0041393982246518135,-1.0,1.0
2016-11-01,-0.0022372036990861034,0.0022434121929109097,-1.0,1.0
2016-11-02,-0.005614773651011333,0.001252420013770461,-1.0,1.0
2016-11-03,-0.00508042767129151,0.0015819997061043978,-1.0,1.0
2016-11-04,-0.009096117098861656,-0.0015519489534199238,-1.0,-1.0
2016-11-07,0.0073968892530373405,0.001092530321329832,1.0,1.0
2016-11-08,0.005652861457588574,0.002121081342920661,1.0,1.0
2016-11-09,-0.0028223783270400664,0.0010689408518373966,-1.0,1.0
2016-11-10,-0.01251446221447851,0.00157115887850523,-1.0,1.0
2016-11-11,-0.005164980464147172,0.0027481568977236748,-1.0,1.0
2016-11-14,-0.016241660613316854,0.0033047806937247515,-1.0,1.0
2016-11-15,0.005249331675611432,0.0020657293498516083,1.0,1.0
2016-11-16,-0.009938630191248698,0.003622921882197261,-1.0,1.0
2016-11-17,0.0035189886988684304,0.0018871324136853218,1.0,1.0
2016-11-18,-0.01237117379784587,0.002183943521231413,-1.0,1.0
2016-11-21,0.00943951368741152,0.005307039711624384,1.0,1.0
2016-11-22,0.0070217064686111785,0.00833105854690075,1.0,1.0
2016-11-23,-0.008196829547970588,0.0047008018009364605,-1.0,1.0
2016-11-25,0.01227009627306141,0.00558843556791544,1.0,1.0
2016-11-28,-0.006993003266498763,0.0027603439521044493,-1.0,1.0
2016-11-29,0.004667471364527145,0.0030703325755894184,1.0,1.0
2016-11-30,-0.0029147505346091085,0.0010527558624744415,-1.0,1.0
2016-12-01,-0.009384210869355054,0.003562686499208212,-1.0,1.0
2016-12-02,0.0,0.0033366726711392403,0.0,1.0
2016-12-05,0.01868135460351581,4.134327173233032e-05,1.0,1.0
2016-12-06,0.008638078769099746,0.0017120428383350372,1.0,1.0
2016-12-07,0.007426469072601677,0.004323717672377825,1.0,1.0
2016-12-08,-0.006853163081427795,0.0035025766119360924,-1.0,1.0
2016-12-09,-0.0022949627437663673,0.005153106525540352,-1.0,1.0
2016-12-12,-0.001724625967269172,0.0026753342244774103,-1.0,1.0
2016-12-13,0.006880729353961709,0.0017229486256837845,1.0,1.0
