Date,024_XLE_1d_actual_lnrts,024_XLE_1d_forecast_lnrts,024_XLE_1d_true_label,024_XLE_1d_forecast_label
2016-08-05,0.009073953281564578,-0.020334690809249878,1.0,-1.0
2016-08-08,0.013239578158606363,-0.02605312317609787,1.0,-1.0
2016-08-09,-0.005274836939406472,-0.023985615000128746,-1.0,-1.0
2016-08-10,-0.010930588610357223,-0.025556787848472595,-1.0,-1.0
2016-08-11,0.014596672543965222,-0.01909087970852852,1.0,-1.0
2016-08-12,0.005546561413272832,-0.02456110529601574,1.0,-1.0
2016-08-15,0.007974045311732613,-0.024660702794790268,1.0,-1.0
2016-08-16,0.0015870604608443043,-0.02690306305885315,1.0,-1.0
2016-08-17,0.00302304390249235,-0.027448546141386032,1.0,-1.0
2016-08-18,0.02034658301603138,-0.023662276566028595,1.0,-1.0
2016-08-19,-0.00834453264070019,-0.020347686484456062,-1.0,-1.0
2016-08-22,-0.011570878760001744,-0.023004913702607155,-1.0,-1.0
2016-08-23,0.007015455587908032,-0.023348499089479446,1.0,-1.0
2016-08-24,-0.004002701288055489,-0.0251281950622797,-1.0,-1.0
2016-08-25,-0.0027252805989949874,-0.0201631598174572,-1.0,-1.0
2016-08-26,-0.0034534603064322717,-0.019121535122394562,-1.0,-1.0
2016-08-29,0.006751520243717481,-0.0246807262301445,1.0,-1.0
2016-08-30,-0.0034419504726636487,-0.016029415652155876,-1.0,-1.0
2016-08-31,-0.01592827902504868,-0.025049526244401932,-1.0,-1.0
2016-09-01,-0.0029237091880416283,-0.02058187685906887,-1.0,-1.0
2016-09-02,0.0112091556185147,-0.01674674265086651,1.0,-1.0
2016-09-06,0.014942693269583987,-0.014342227019369602,1.0,-1.0
2016-09-07,0.0056883543422349605,-0.022340327501296997,1.0,-1.0
2016-09-08,0.01854501413158654,-0.024707846343517303,1.0,-1.0
2016-09-09,-0.030240984287033614,-0.02665751241147518,-1.0,-1.0
2016-09-12,0.00985080294128136,-0.01691174879670143,1.0,-1.0
2016-09-13,-0.028970680172210248,-0.020639415830373764,-1.0,-1.0
2016-09-14,-0.01191631592839717,-0.01859353855252266,-1.0,-1.0
2016-09-15,0.012354883187506757,-0.021623315289616585,1.0,-1.0
2016-09-16,-0.008113560242829766,-0.021294988691806793,-1.0,-1.0
2016-09-19,-0.0005931101855928116,-0.03210211172699928,-1.0,-1.0
2016-09-20,-0.0072955539620584535,-0.019695118069648743,-1.0,-1.0
