Date,003_EWJ_1d_actual_lnrts,003_EWJ_1d_forecast_lnrts,003_EWJ_1d_true_label,003_EWJ_1d_forecast_label
2016-08-18,-0.004854401458307677,-0.007935031317174435,-1.0,-1.0
2016-08-19,-0.0024360663787587416,-0.004731719382107258,-1.0,-1.0
2016-08-22,0.005674985256387322,-0.002429444808512926,1.0,-1.0
2016-08-23,0.0008080983544924596,-0.0034633884206414223,1.0,-1.0
2016-08-24,-0.0008080983544923995,-0.005169450305402279,-1.0,-1.0
2016-08-25,-0.004862269108977205,-0.0047050234861671925,-1.0,-1.0
2016-08-26,-0.007337937905975988,-0.0032820459455251694,-1.0,-1.0
2016-08-29,0.0032680266139034817,-0.0031699505634605885,1.0,-1.0
2016-08-30,0.0,-0.004988015629351139,0.0,-1.0
2016-08-31,0.0016298822803150277,-0.003927120007574558,1.0,-1.0
2016-09-01,0.007302298120734783,-0.005719861015677452,1.0,-1.0
2016-09-02,0.007249279177650065,-0.00349465012550354,1.0,-1.0
2016-09-06,0.0056022956073465534,-0.002000252716243267,1.0,-1.0
2016-09-07,0.0047771015766916915,-0.0038234470412135124,1.0,-1.0
2016-09-08,-0.004777101576691594,-0.006201815791428089,-1.0,-1.0
2016-09-09,-0.01609049366262504,-0.004784552846103907,-1.0,-1.0
2016-09-12,0.008077660675706937,-0.0021306429989635944,1.0,-1.0
2016-09-13,-0.01785763215898893,-0.002636467572301626,-1.0,-1.0
2016-09-14,-0.00657356112785826,-0.0008765766397118568,-1.0,-1.0
2016-09-15,0.004934139198402433,-0.0044340090826153755,1.0,-1.0
2016-09-16,-0.008237248123173158,-0.00544278509914875,-1.0,-1.0
2016-09-19,0.003303108924770729,-0.0039249565452337265,1.0,-1.0
2016-09-20,0.013917466232381461,-0.004541835747659206,1.0,-1.0
2016-09-21,0.02884818915546025,-0.005030672997236252,1.0,-1.0
2016-09-22,0.01255902756215301,-0.005810213275253773,1.0,-1.0
2016-09-23,-0.014139948921037992,-0.007907770574092865,-1.0,-1.0
2016-09-26,-0.008740707755191436,-0.0045508649200201035,-1.0,-1.0
2016-09-27,0.011111243943956002,-0.005463047884404659,1.0,-1.0
2016-09-28,-0.0015798335221297096,-0.006853214465081692,-1.0,-1.0
2016-09-29,-0.007140007048758618,-0.008288256824016571,-1.0,-1.0
2016-09-30,-0.0015935994925369112,-0.005307772196829319,-1.0,-1.0
2016-10-03,-0.003194939775201271,-0.005168449133634567,-1.0,-1.0
2016-10-04,-0.005615697092247572,-0.0013172971084713936,-1.0,-1.0
2016-10-05,0.006415414945703134,-0.0017546778544783592,1.0,-1.0
2016-10-06,-0.00480772412155214,-0.004995222203433514,-1.0,-1.0
2016-10-07,0.0,-0.004661941435188055,0.0,-1.0
2016-10-10,0.003207668733809788,-0.002263227943331003,1.0,-1.0
2016-10-11,-0.008846003001546842,-0.002552613615989685,-1.0,-1.0
2016-10-12,-0.0016169532304348908,-0.0012522931210696697,-1.0,-1.0
2016-10-13,-0.0016193244738461265,-0.0014487928710877895,-1.0,-1.0
2016-10-14,0.0,-0.003453773446381092,0.0,-1.0
2016-10-17,0.0008100621509485642,-0.0024002185091376305,1.0,-1.0
2016-10-18,0.005652074035549165,-0.003393352497369051,1.0,-1.0
2016-10-19,0.003215322340940695,-0.004113380331546068,1.0,-1.0
2016-10-20,0.00878951702756463,-0.0024253586307168007,1.0,-1.0
2016-10-21,0.0,-0.0075745126232504845,0.0,-1.0
2016-10-24,0.0015898801564735584,-0.005107882432639599,1.0,-1.0
2016-10-25,0.0007939830863424494,-0.0039305733516812325,1.0,-1.0
2016-10-26,-0.001588617316705743,-0.004187459126114845,-1.0,-1.0
2016-10-27,0.0015886173167056203,-0.005021796561777592,1.0,-1.0
2016-10-28,0.0015859564255743164,-0.0033521614968776703,1.0,-1.0
2016-10-31,0.000792096448743217,-0.0051393089815974236,1.0,-1.0
2016-11-01,-0.003966670191023195,-0.001530978363007307,-1.0,-1.0
2016-11-02,-0.006379603240998745,-0.004378126002848148,-1.0,-1.0
2016-11-03,0.0023971358946703577,-0.003193989861756563,1.0,-1.0
2016-11-04,-0.012043476430504099,-0.004625230096280575,-1.0,-1.0
2016-11-07,0.007042995110793467,-0.004961702972650528,1.0,-1.0
2016-11-08,-0.001203847886198684,-0.007070763967931271,-1.0,-1.0
2016-11-09,-0.008467904418540478,-0.004273715429008007,-1.0,-1.0
2016-11-10,0.0008096527630550893,-0.004351169802248478,1.0,-1.0
2016-11-11,0.0014151060278574422,-0.003517839126288891,1.0,-1.0
2016-11-14,0.0012113826292198442,-0.003714651335030794,1.0,-1.0
2016-11-15,0.0016128770054063234,-0.00403749942779541,1.0,-1.0
2016-11-16,-0.004846476784925576,-0.0026689013466238976,-1.0,-1.0
2016-11-17,0.01486863287237285,-0.0016439994797110558,1.0,-1.0
2016-11-18,-0.015071174512985982,-0.0050283996388316154,-1.0,-1.0
2016-11-21,0.008066238170881654,-0.004813389852643013,1.0,-1.0
2016-11-22,0.0024072342054473127,-0.002355269156396389,1.0,-1.0
2016-11-23,0.0,-0.0022110668942332268,0.0,-1.0
2016-11-25,-0.008450702002533518,-0.004117177799344063,-1.0,-1.0
2016-11-28,0.008651072422284202,-0.0012083346955478191,1.0,-1.0
