Date,00632R_ETF_1d_actual_lnrts,00632R_ETF_1d_forecast_lnrts,00632R_ETF_1d_true_label,00632R_ETF_1d_forecast_label
2016-11-29,0.008446505721831934,-0.005823967512696981,1.0,-1.0
2016-12-02,-0.01604879260206499,-0.005431597586721182,-1.0,-1.0
2016-12-05,0.006086446056402253,-0.004747373051941395,1.0,-1.0
2016-12-06,0.010262691945127161,-0.006128984969109297,1.0,-1.0
2016-12-07,0.0018001805041478473,-0.0049338387325406075,1.0,-1.0
2016-12-08,0.0011983224921087163,-0.006379765924066305,1.0,-1.0
2016-12-12,0.00715993512209254,-0.005793796386569738,1.0,-1.0
2016-12-13,0.0023752980289072616,-0.006064556073397398,1.0,-1.0
2016-12-14,-0.005650572655517433,-0.004202066920697689,-1.0,-1.0
2016-12-16,0.0026805675023322604,-0.01011626422405243,1.0,-1.0
2016-12-19,-0.011969023795320655,-0.01055857166647911,-1.0,-1.0
2016-12-20,-0.0057358647824505065,-0.008747575804591179,-1.0,-1.0
2016-12-21,0.00362647722917306,-0.007499055936932564,1.0,-1.0
2016-12-22,-0.006962340823002315,-0.006280074827373028,-1.0,-1.0
2016-12-26,-0.012225091129259154,-0.00773373618721962,-1.0,-1.0
