Date,021_XLF_1d_actual_lnrts,021_XLF_1d_forecast_lnrts,021_XLF_1d_true_label,021_XLF_1d_forecast_label
2016-07-29,-0.0016899075292253446,-0.008335568010807037,-1.0,-1.0
2016-08-01,-0.0025401932821130673,-0.005390315316617489,-1.0,-1.0
2016-08-02,-0.008514404350064071,-0.0008294854778796434,-1.0,-1.0
2016-08-03,0.010208537089837896,-0.0023749719839543104,1.0,-1.0
2016-08-04,-0.0025423460842575437,-0.0063719367608428,-1.0,-1.0
2016-08-05,0.01891216458033178,-0.0042762141674757,1.0,-1.0
2016-08-08,0.001248234070518535,-0.007542836479842663,1.0,-1.0
2016-08-09,0.0008311552174125931,-0.012364131398499012,1.0,-1.0
2016-08-10,-0.00792489771688804,-0.00911510456353426,-1.0,-1.0
2016-08-11,0.0020914988009678353,-0.006297968327999115,1.0,-1.0
2016-08-12,-0.0029294756714207467,-0.00340928859077394,-1.0,-1.0
2016-08-15,0.006683485299409968,-0.0017370579298585653,1.0,-1.0
2016-08-16,-0.0025012204973239123,-0.00807296670973301,-1.0,-1.0
2016-08-17,0.0033334815240887304,-0.007832160219550133,1.0,-1.0
2016-08-18,-0.0008322610267647738,-0.005460163578391075,-1.0,-1.0
2016-08-19,-0.0004164927078860017,-0.001433187397196889,-1.0,-1.0
2016-08-22,0.0,-0.0036639750469475985,0.0,-1.0
2016-08-23,0.0012487537346507179,-0.001344751799479127,1.0,-1.0
2016-08-24,-0.0004160780038328756,-0.003956087864935398,-1.0,-1.0
2016-08-25,0.002078592964048902,-0.0020240505691617727,1.0,-1.0
2016-08-26,0.001244922064668563,-0.0020236417185515165,1.0,-1.0
2016-08-29,0.008672472090175326,-0.0004195237997919321,1.0,-1.0
2016-08-30,0.009005505216893838,-0.0039211539551615715,1.0,-1.0
2016-08-31,0.0008145659671823539,-0.006671542301774025,1.0,-1.0
2016-09-01,-0.004080016852007189,-0.004695736803114414,-1.0,-1.0
2016-09-02,0.004487184447092333,-0.0012384292203933,1.0,-1.0
2016-09-06,-0.0016293322566668848,-0.0021367722656577826,-1.0,-1.0
2016-09-07,-0.00040783168254264913,-0.003731127129867673,-1.0,-1.0
2016-09-08,-0.0008160290080978372,-0.0064298901706933975,-1.0,-1.0
2016-09-09,-0.01895395494691403,-0.00459060724824667,-1.0,-1.0
2016-09-12,0.011168555091850175,-0.001979955704882741,1.0,-1.0
2016-09-13,-0.01784632454757176,-0.0036357103381305933,-1.0,-1.0
2016-09-14,-0.0025157651886417703,0.0003821244463324547,-1.0,1.0
2016-09-15,0.005860053120274668,-0.000172122148796916,1.0,-1.0
2016-09-16,-0.008417657718933835,-0.003452905220910907,-1.0,-1.0
2016-09-19,0.269780635323915,-0.0009772831108421087,1.0,-1.0
2016-09-20,0.0005177002565969238,-0.02599075436592102,1.0,-1.0
2016-09-21,0.006192005962746551,-0.018268465995788574,1.0,-1.0
2016-09-22,0.0020554762118031446,-0.009715711697936058,1.0,-1.0
2016-09-23,-0.005146791454317561,-0.012926642782986164,-1.0,-1.0
2016-09-26,-0.016124873777970023,-0.011934137903153896,-1.0,-1.0
2016-09-27,0.007834762960393347,-0.01777643896639347,1.0,-1.0
2016-09-28,0.00467171984074779,-0.01290950458496809,1.0,-1.0
2016-09-29,-0.01408098855364444,-0.004693436436355114,-1.0,-1.0
2016-09-30,0.013562914839256002,-0.01668138988316059,1.0,-1.0
2016-10-03,-0.004674093530360558,-0.007116617634892464,-1.0,-1.0
2016-10-04,0.004155961996469886,-0.011752714402973652,1.0,-1.0
2016-10-05,0.015942587353164082,-0.01262104231864214,1.0,-1.0
2016-10-06,0.0015295545142800782,-0.006178534589707851,1.0,-1.0
2016-10-07,-0.0005095225418092486,-0.011800060048699379,-1.0,-1.0
2016-10-10,0.005083889574219769,-0.010359701700508595,1.0,-1.0
2016-10-11,-0.009169755093291565,0.0020895195193588734,-1.0,1.0
2016-10-12,-0.001024106232733039,0.001288663363084197,-1.0,1.0
2016-10-13,-0.009781309687240197,-0.00957319512963295,-1.0,-1.0
2016-10-14,0.004645196605197246,-0.0008497971575707197,1.0,-1.0
2016-10-17,-0.004645196605197188,-0.0002784354146569967,-1.0,-1.0
2016-10-18,0.008243233300367431,-0.02229424938559532,1.0,-1.0
2016-10-19,0.008684685853166478,-0.006785408593714237,1.0,-1.0
2016-10-20,0.0,-0.013755938969552517,0.0,-1.0
