Date,027_XLP_1d_actual_lnrts,027_XLP_1d_forecast_lnrts,027_XLP_1d_true_label,027_XLP_1d_forecast_label
2016-08-22,0.0014554697930798913,0.0036873421631753445,1.0,1.0
2016-08-23,-0.0020018081648044243,0.0021458128467202187,-1.0,1.0
2016-08-24,-0.0016410723060669755,0.0013437182642519474,-1.0,1.0
2016-08-25,-0.003839529406863938,0.0058012534864246845,-1.0,1.0
2016-08-26,-0.005142247794730864,0.003997491206973791,-1.0,1.0
2016-08-29,0.005874816974739685,0.00499733118340373,1.0,1.0
2016-08-30,-0.0058748169747396455,0.0014856820926070213,-1.0,1.0
2016-08-31,0.0012880525779573175,0.0038012927398085594,1.0,1.0
2016-09-01,0.00036766165419873043,0.0036888811737298965,1.0,1.0
2016-09-02,0.007691039251116246,0.004092582035809755,1.0,1.0
2016-09-06,0.0021864816833903696,0.0009160602930933237,1.0,1.0
2016-09-07,-0.00877519453358185,0.003294056747108698,-1.0,1.0
2016-09-08,-0.00552378541428325,0.0022000602912157774,-1.0,1.0
2016-09-09,-0.027517020660271292,0.0013522189110517502,-1.0,1.0
2016-09-12,0.01861480723659978,0.005331771448254585,1.0,1.0
2016-09-13,-0.01237127151424434,0.0038127703592181206,-1.0,1.0
2016-09-14,-0.0030222855053025585,0.0060993339866399765,-1.0,1.0
2016-09-15,0.00810174879480665,0.008458077907562256,1.0,1.0
2016-09-16,-0.0032500359879555083,0.0044580246321856976,-1.0,1.0
2016-09-19,-0.0020858647032922593,0.0064472416415810585,-1.0,1.0
2016-09-20,0.0026539331116771886,0.008564477786421776,1.0,1.0
2016-09-21,0.005475399219526137,0.00641230121254921,1.0,1.0
2016-09-22,0.00881063511000435,0.00980038195848465,1.0,1.0
2016-09-23,-0.004489469787005936,0.005838128738105297,-1.0,1.0
2016-09-26,-0.008472195748108239,0.01083836704492569,-1.0,1.0
2016-09-27,0.00415103042510987,0.009374098852276802,1.0,1.0
2016-09-28,0.0016931387274077962,0.01122143492102623,1.0,1.0
2016-09-29,-0.009822471058611382,0.01299518533051014,-1.0,1.0
2016-09-30,0.010010377858202617,0.009663144126534462,1.0,1.0
2016-10-03,-0.006410354693593007,0.011375932022929192,-1.0,1.0
2016-10-04,-0.008547834307215254,0.011295374482870102,-1.0,1.0
2016-10-05,-0.0009542156120395653,0.013549253344535828,-1.0,1.0
2016-10-06,0.0019076781451799944,0.013435948640108109,1.0,1.0
2016-10-07,-0.0026716792822918094,0.011060183867812157,-1.0,1.0
2016-10-10,0.0,0.011972915381193161,0.0,1.0
2016-10-11,-0.0051729875447372575,0.011985952034592628,-1.0,1.0
2016-10-12,0.005554953179597052,0.01293514110147953,1.0,1.0
2016-10-13,0.00019111444978225578,0.010276890359818935,1.0,1.0
2016-10-14,0.00019092105246949333,0.01387566328048706,1.0,1.0
2016-10-17,-0.004785256842372947,0.008142942562699318,-1.0,1.0
2016-10-18,0.003065260844184649,0.012438297271728516,1.0,1.0
2016-10-19,-0.005754964896124711,0.0139689389616251,-1.0,1.0
2016-10-20,-0.0005772511038196734,0.013156579807400703,-1.0,1.0
2016-10-21,0.005375365325609277,0.014798959717154503,1.0,1.0
2016-10-24,0.0064885706551523455,0.014933181926608086,1.0,1.0
2016-10-25,0.003607620461854812,0.016149338334798813,1.0,1.0
2016-10-26,-0.0013276342260587657,0.016570692881941795,-1.0,1.0
2016-10-27,-0.004565339330601744,0.013671426102519035,-1.0,1.0
2016-10-28,0.004185702437400041,0.01722637750208378,1.0,1.0
2016-10-31,0.0024652619941683313,0.016920456662774086,1.0,1.0
2016-11-01,-0.004365611336762481,0.01695754937827587,-1.0,1.0
2016-11-02,-0.0024760612605572185,0.017085079103708267,-1.0,1.0
2016-11-03,-0.006888567092358645,0.017527807503938675,-1.0,1.0
2016-11-04,-0.009065571518606194,0.017575200647115707,-1.0,1.0
2016-11-07,0.016716674878025802,0.01692945882678032,1.0,1.0
2016-11-08,0.004183392565915919,0.01891142502427101,1.0,1.0
2016-11-09,-0.013756552449361864,0.018405845388770103,-1.0,1.0
2016-11-10,-0.027104953049700963,0.017468973994255066,-1.0,1.0
2016-11-11,-0.0009888308142771386,0.02070300467312336,-1.0,1.0
2016-11-14,-0.001782493509637093,0.016615988686680794,-1.0,1.0
2016-11-15,0.006125875959005359,0.020572643727064133,1.0,1.0
2016-11-16,0.00019710031175938908,0.024337630718946457,1.0,1.0
2016-11-17,-0.0017743302507868587,0.024123260751366615,-1.0,1.0
2016-11-18,-0.003558051922853993,0.02018701285123825,-1.0,1.0
2016-11-21,0.006710108863933644,0.021099261939525604,1.0,1.0
2016-11-22,0.00510102635576203,0.02085605077445507,1.0,1.0
2016-11-23,-0.005494399619567096,0.024056965485215187,-1.0,1.0
2016-11-25,0.007840058312768744,0.025903457775712013,1.0,1.0
2016-11-28,0.002145337686404545,0.02275073528289795,1.0,1.0
2016-11-29,0.0013628660427812726,0.022708410397171974,1.0,1.0
2016-11-30,-0.016081987856997305,0.0254290122538805,-1.0,1.0
2016-12-01,-0.0065457405471121026,0.02905605360865593,-1.0,1.0
2016-12-02,0.006347981004303138,0.0350818932056427,1.0,1.0
2016-12-05,0.001185727642781779,0.02782474271953106,1.0,1.0
2016-12-06,0.0029583039677604076,0.027366360649466515,1.0,1.0
2016-12-07,0.014273309157380705,0.031647976487874985,1.0,1.0
2016-12-08,-0.0040851024915329135,0.030702078714966774,-1.0,1.0
