Date,050_IYJ_1d_actual_lnrts,050_IYJ_1d_forecast_lnrts,050_IYJ_1d_true_label,050_IYJ_1d_forecast_label
2016-08-17,0.0016581930442293275,-0.005735152401030064,1.0,-1.0
2016-08-18,0.002786441344207524,-0.0071552833542227745,1.0,-1.0
2016-08-19,0.0015640766356675253,-0.004790415987372398,1.0,-1.0
2016-08-22,0.0004340407136965165,-0.0038285385817289352,1.0,-1.0
2016-08-23,0.002167171951796807,-0.005470314063131809,1.0,-1.0
2016-08-24,-0.004252201435194453,-0.005380988121032715,-1.0,-1.0
2016-08-25,0.0006954900479602745,-0.005885914899408817,1.0,-1.0
2016-08-26,-0.0018266434076358543,-0.002604876644909382,-1.0,-1.0
2016-08-29,0.004256933661765103,-0.0038623325526714325,1.0,-1.0
2016-08-30,-0.001909020719233813,-0.005322940647602081,-1.0,-1.0
2016-08-31,-0.004265155961766377,-0.004658915568143129,-1.0,-1.0
2016-09-01,0.0016560251454407527,-0.0049875658005476,1.0,-1.0
2016-09-02,0.004951552740068079,-0.0046666390262544155,1.0,-1.0
2016-09-06,-0.002603088641573195,-0.0009136667940765619,-1.0,-1.0
2016-09-07,-8.683662122332024e-05,0.0007714064558967948,-1.0,1.0
2016-09-08,-0.002174594250264914,-0.0031551234424114227,-1.0,-1.0
2016-09-09,-0.028977246871160746,-0.006113818846642971,-1.0,-1.0
2016-09-12,0.013621364668707944,-0.004792897030711174,1.0,-1.0
2016-09-13,-0.014607883591600767,-0.0035505262203514576,-1.0,-1.0
2016-09-14,-0.0027853942014723697,-0.001240322133526206,-1.0,-1.0
2016-09-15,0.010472239922382432,-0.0007044002413749695,1.0,-1.0
2016-09-16,-0.007776526373431436,-0.002767329104244709,-1.0,-1.0
2016-09-19,0.003940448756796482,-0.007446787320077419,1.0,-1.0
2016-09-20,0.0002681769524327643,-0.0020834426395595074,1.0,-1.0
2016-09-21,0.013490872719401734,-0.0035436847247183323,1.0,-1.0
2016-09-22,0.008252920415684654,-0.002297649160027504,1.0,-1.0
2016-09-23,-0.00675532147521198,-0.00704979058355093,-1.0,-1.0
2016-09-26,-0.00428425120424763,-0.0038656792603433132,-1.0,-1.0
2016-09-27,0.007071598736907692,-0.003429792821407318,1.0,-1.0
2016-09-28,0.006671917069497349,-0.004855385050177574,1.0,-1.0
2016-09-29,-0.007112444936256019,-0.005504674278199673,-1.0,-1.0
2016-09-30,0.007637304414662681,-0.004168679006397724,1.0,-1.0
2016-10-03,-0.0015754055912743396,-0.002636972349137068,-1.0,-1.0
2016-10-04,-0.008444053353923064,-0.00267237750813365,-1.0,-1.0
2016-10-05,0.00607639224120597,-0.0024601640179753304,1.0,-1.0
2016-10-06,0.0012284066554200171,-0.004487830214202404,1.0,-1.0
