Date,007_EWH_1d_actual_lnrts,007_EWH_1d_forecast_lnrts,007_EWH_1d_true_label,007_EWH_1d_forecast_label
2016-07-18,0.010322103572820549,-0.00814888533204794,1.0,-1.0
2016-07-19,-0.003919645810654974,-0.009272322058677673,-1.0,-1.0
2016-07-20,0.015103887910501462,-0.006620630621910095,1.0,-1.0
2016-07-21,-0.00048373105467306685,-0.003810000605881214,-1.0,-1.0
2016-07-22,0.00530762174001935,-0.004308628849685192,1.0,-1.0
2016-07-25,-0.0028916006478402023,-0.008733062073588371,-1.0,-1.0
2016-07-26,0.017699578839834397,-0.009015298448503017,1.0,-1.0
2016-07-27,-0.004752914056862903,-0.013380583375692368,-1.0,-1.0
2016-07-28,0.0,-0.010279237292706966,0.0,-1.0
2016-07-29,-0.0042969250072104935,-0.012826533988118172,-1.0,-1.0
2016-08-01,-0.002395188320008799,-0.010744609870016575,-1.0,-1.0
2016-08-02,-0.003844303972659254,-0.011854314245283604,-1.0,-1.0
2016-08-03,-0.0053102337389290466,-0.01124751940369606,-1.0,-1.0
2016-08-04,0.00048396516365689445,-0.009962876327335835,1.0,-1.0
2016-08-05,0.017266660919988984,-0.00672804843634367,1.0,-1.0
2016-08-08,0.004270516606234523,-0.01040875818580389,1.0,-1.0
2016-08-09,0.0014193652042480784,-0.010771868750452995,1.0,-1.0
2016-08-10,-0.004264446549681172,-0.012345131486654282,-1.0,-1.0
2016-08-11,0.010392177214850369,-0.008617524057626724,1.0,-1.0
2016-08-12,-0.0032949328767553046,-0.008832053281366825,-1.0,-1.0
2016-08-15,0.005641875335994433,-0.010116328485310078,1.0,-1.0
2016-08-16,-0.006585185238622747,-0.009214404970407486,-1.0,-1.0
2016-08-17,-0.004730430684243455,-0.006058709695935249,-1.0,-1.0
2016-08-18,0.0037860844638634597,-0.006424497812986374,1.0,-1.0
2016-08-19,-0.008062591385111662,-0.010153242386877537,-1.0,-1.0
2016-08-22,-0.0033389385850628585,-0.009139873087406158,-1.0,-1.0
2016-08-23,0.0085633721808564,-0.006836540065705776,1.0,-1.0
2016-08-24,-0.00760820252465164,-0.009902888908982277,-1.0,-1.0
2016-08-25,0.0028598024557155315,-0.007839839905500412,1.0,-1.0
2016-08-26,-0.0033372486995795806,-0.010955184698104858,-1.0,-1.0
2016-08-29,0.00047744624386412304,-0.00815222505480051,1.0,-1.0
2016-08-30,0.0085550855654715,-0.008198141120374203,1.0,-1.0
2016-08-31,-0.004743748727389857,-0.007851067930459976,-1.0,-1.0
2016-09-01,0.011817612475651782,-0.009846681728959084,1.0,-1.0
2016-09-02,0.016775738440326256,-0.006097700446844101,1.0,-1.0
2016-09-06,0.010115142050736572,-0.008276279084384441,1.0,-1.0
2016-09-07,0.0018280336368727593,-0.007388953119516373,1.0,-1.0
2016-09-08,0.009091027125033978,-0.008924072608351707,1.0,-1.0
2016-09-09,-0.006810358301538038,-0.010484124533832073,-1.0,-1.0
2016-09-12,0.004091796814767326,-0.007553144358098507,1.0,-1.0
2016-09-13,-0.023876279501031283,-0.0068737296387553215,-1.0,-1.0
2016-09-14,0.005560638175158388,-0.0038243578746914864,1.0,-1.0
2016-09-15,0.015589575593645504,-0.0012874947860836983,1.0,-1.0
2016-09-16,-0.004560069470078189,-0.009975583292543888,-1.0,-1.0
2016-09-19,-0.00045705403166704543,-0.006626797839999199,-1.0,-1.0
2016-09-20,-0.0009149704217968497,-0.007119154557585716,-1.0,-1.0
2016-09-21,0.011376721142540111,-0.008646456524729729,1.0,-1.0
2016-09-22,0.004064220194312472,-0.00812752265483141,1.0,-1.0
2016-09-23,-0.007690691467803219,-0.00632291566580534,-1.0,-1.0
2016-09-26,-0.012337323802603363,-0.008003795519471169,-1.0,-1.0
2016-09-27,0.010519167857095996,-0.0056898333132267,1.0,-1.0
2016-09-28,0.00770458688603269,-0.008231098763644695,1.0,-1.0
2016-09-29,-0.009982045776885646,-0.009851832874119282,-1.0,-1.0
2016-09-30,0.003641420685976139,-0.005310269072651863,1.0,-1.0
2016-10-03,0.0018156333787191247,-0.004815964959561825,1.0,-1.0
2016-10-04,-0.005001062832516779,-0.007149433717131615,-1.0,-1.0
2016-10-05,0.010428545369624684,-0.00951581634581089,1.0,-1.0
2016-10-06,-0.0013542043283594075,-0.01155147235840559,-1.0,-1.0
2016-10-07,-0.0018082461635928013,-0.006495434790849686,-1.0,-1.0
2016-10-10,0.006764429454627323,-0.00778459757566452,1.0,-1.0
2016-10-11,-0.029648697236797108,-0.008347183465957642,-1.0,-1.0
2016-10-12,0.006460591734826002,-0.0058622341603040695,1.0,-1.0
2016-10-13,-0.01156630083069362,-0.005867562256753445,-1.0,-1.0
2016-10-14,0.006031264498115078,-0.005094966851174831,1.0,-1.0
2016-10-17,-0.005100973597900713,-0.0068464335054159164,-1.0,-1.0
2016-10-18,0.010636009930479104,-0.00906167458742857,1.0,-1.0
2016-10-19,0.0032146400822918755,-0.006111592054367065,1.0,-1.0
2016-10-20,0.0013745860688842754,-0.00322839617729187,1.0,-1.0
2016-10-21,-0.00045793836518837104,-0.006995690055191517,-1.0,-1.0
2016-10-24,0.010480819830114793,-0.005233447998762131,1.0,-1.0
2016-10-25,-0.0018149028422492417,-0.008184527978301048,-1.0,-1.0
2016-10-26,-0.003183887028047416,-0.005624272860586643,-1.0,-1.0
2016-10-27,-0.008693814428252183,-0.005509801208972931,-1.0,-1.0
2016-10-28,-0.0073800950523796585,-0.002185818739235401,-1.0,-1.0
2016-10-31,-0.0013898698407317537,-0.006321311928331852,-1.0,-1.0
2016-11-01,0.004163780247862884,-0.0052313171327114105,1.0,-1.0
2016-11-02,-0.008345017923940596,-0.011327010579407215,-1.0,-1.0
2016-11-03,-0.0037313416207616613,-0.009725552052259445,-1.0,-1.0
2016-11-04,-0.012697088081490726,-0.005456062033772469,-1.0,-1.0
2016-11-07,0.0023635835949358565,-0.0051274895668029785,1.0,-1.0
2016-11-08,0.006588284206283935,-0.009239924140274525,1.0,-1.0
2016-11-09,-0.01464715091097568,-0.006910842843353748,-1.0,-1.0
2016-11-10,-0.0023827311611474907,-0.009089808911085129,-1.0,-1.0
2016-11-11,-0.007182201563628384,-0.00471099466085434,-1.0,-1.0
2016-11-14,-0.010628040019101555,-0.007298478856682777,-1.0,-1.0
2016-11-15,0.009185467946273923,-0.004396104719489813,1.0,-1.0
2016-11-16,-0.014542198685655797,-0.008315143175423145,-1.0,-1.0
2016-11-17,0.01116785064111855,-0.004189508501440287,1.0,-1.0
2016-11-18,0.0028929948797900558,-0.004757883958518505,1.0,-1.0
2016-11-21,0.004323810664583001,-0.006726675666868687,1.0,-1.0
2016-11-22,0.007640854324523394,-0.003311332780867815,1.0,-1.0
2016-11-23,-0.003813055726335625,-0.0020460649393498898,-1.0,-1.0
2016-11-25,0.002384808037107653,-0.008607443422079086,1.0,-1.0
2016-11-28,-0.0042969250072104935,-0.006658877246081829,-1.0,-1.0
2016-11-29,0.005725172696438497,-0.004002043977379799,1.0,-1.0
2016-11-30,0.0071107508314983275,-0.006296561099588871,1.0,-1.0
2016-12-01,-0.009015485765342,-0.006359618157148361,-1.0,-1.0
2016-12-02,-0.01150538131810102,-0.0034464444033801556,-1.0,-1.0
2016-12-05,0.0038498540542683123,-0.0050953589379787445,1.0,-1.0
2016-12-06,0.0004801974656319609,-0.004536265507340431,1.0,-1.0
2016-12-07,0.006698615405253218,-0.00861548725515604,1.0,-1.0
2016-12-08,-0.011028666925153512,-0.006781918928027153,-1.0,-1.0
2016-12-09,-0.006773153226441672,-0.0037668775767087936,-1.0,-1.0
2016-12-12,-0.015162789545476394,0.0015874055679887533,-1.0,1.0
2016-12-13,0.011759056689901733,-0.0013012723065912724,1.0,-1.0
2016-12-14,-0.017195306999827915,-0.006545622833073139,-1.0,-1.0
2016-12-15,-0.0059641969490920555,-0.0037265419960021973,-1.0,-1.0
2016-12-16,-0.005498649265014024,-0.00228550611063838,-1.0,-1.0
2016-12-19,-0.008557757342199367,-0.0045013753697276115,-1.0,-1.0
2016-12-20,0.0,-0.0036979233846068382,0.0,-1.0
2016-12-21,-0.0020460780764268455,-0.004193767439574003,-1.0,-1.0
2016-12-22,-0.0015373366716012462,-0.0036797411739826202,-1.0,-1.0
2016-12-23,-0.003596197134820018,-0.0027430281043052673,-1.0,-1.0
2016-12-27,0.0,-0.008418162353336811,0.0,-1.0
2016-12-28,-0.006195188305309432,-0.0034544984810054302,-1.0,-1.0
2016-12-29,0.006195188305309372,-0.0021585761569440365,1.0,-1.0
2016-12-30,0.0025700088461082116,-0.0015468350611627102,1.0,-1.0
