Date,015_EWD_1d_actual_lnrts,015_EWD_1d_forecast_lnrts,015_EWD_1d_true_label,015_EWD_1d_forecast_label
2016-09-01,0.005586573793777773,-0.0028680507093667984,1.0,-1.0
2016-09-02,0.007631064874168863,0.003307631239295006,1.0,1.0
2016-09-06,0.011679942304091693,0.002284306101500988,1.0,1.0
2016-09-07,0.00408994362439812,-0.0005545010790228844,1.0,-1.0
2016-09-08,-0.0013614103181523722,-0.00741214957088232,-1.0,-1.0
2016-09-09,-0.01821669344916063,-0.0037122592329978943,-1.0,-1.0
2016-09-12,0.01000872700228759,-0.00370132178068161,1.0,-1.0
2016-09-13,-0.018718072207683276,-0.006278245709836483,-1.0,-1.0
2016-09-14,0.0020971482012913526,-0.0014057820662856102,1.0,-1.0
2016-09-15,0.009729121575281089,-0.00677535030990839,1.0,-1.0
2016-09-16,-0.01673683502822314,-0.007423940114676952,-1.0,-1.0
2016-09-19,0.004910565251650659,-0.0030474672093987465,1.0,-1.0
2016-09-20,-0.002803032645939346,-0.006962626241147518,-1.0,-1.0
2016-09-21,0.0139373893934168,-0.0012890873476862907,1.0,-1.0
2016-09-22,0.011011886772053456,-0.008666324429214,1.0,-1.0
2016-09-23,-0.006523655339694145,-0.008471979759633541,-1.0,-1.0
2016-09-26,-0.010387940996429122,-0.002317860722541809,-1.0,-1.0
2016-09-27,0.002086352551257651,-0.0052567338570952415,1.0,-1.0
2016-09-28,0.006577717835389483,-0.005470050498843193,1.0,-1.0
2016-09-29,-0.008316042538842515,-0.006779479794204235,-1.0,-1.0
2016-09-30,0.011416859110842264,-0.00774985458701849,1.0,-1.0
2016-10-03,0.0041194283550041386,-0.005066819489002228,1.0,-1.0
2016-10-04,-0.0020575929677553984,0.0001994352787733078,-1.0,1.0
2016-10-05,0.005477627360213564,-0.004138616845011711,1.0,-1.0
2016-10-06,0.0017055712243918863,0.0015227654948830605,1.0,1.0
2016-10-07,-0.0064968871330833445,-0.0016076238825917244,-1.0,-1.0
2016-10-10,0.005132621067177162,-0.006000845693051815,1.0,-1.0
2016-10-11,-0.02523027859663226,-0.007124613039195538,-1.0,-1.0
2016-10-12,-0.011617756972799756,-0.0039246222004294395,-1.0,-1.0
2016-10-13,-0.0046140046208938135,-0.007121329195797443,-1.0,-1.0
2016-10-14,0.0031966328120703867,0.0019687796011567116,1.0,1.0
2016-10-17,-0.0017747261614412468,0.0014136172831058502,-1.0,1.0
2016-10-18,0.011654685628513066,0.0008321171626448631,1.0,1.0
2016-10-19,-0.0028128887790365093,-0.0008016573265194893,-1.0,-1.0
2016-10-20,0.002812888779036353,-0.003833211027085781,1.0,-1.0
2016-10-21,-0.004222269812306265,-0.01159087847918272,-1.0,-1.0
2016-10-24,-0.005303267074594767,-0.005735638551414013,-1.0,-1.0
2016-10-25,-0.002839922049106009,-0.0026460429653525352,-1.0,-1.0
2016-10-26,-0.003561172449793618,-0.007694213651120663,-1.0,-1.0
2016-10-27,-0.01076054228342863,-0.005288341082632542,-1.0,-1.0
2016-10-28,0.0014415251969858724,0.0007409024983644485,1.0,1.0
2016-10-31,-0.008316845887225525,0.0034496113657951355,-1.0,1.0
2016-11-01,-0.004002196960896393,0.0027584400959312916,-1.0,1.0
2016-11-02,-0.0051169676608850065,-0.0052687302231788635,-1.0,-1.0
2016-11-03,-0.005143361079411347,-0.004386641085147858,-1.0,-1.0
2016-11-04,-0.009250766633424086,-0.0042085545137524605,-1.0,-1.0
2016-11-07,0.0143941277128355,-0.007017088122665882,1.0,-1.0
2016-11-08,0.006209977380214882,-0.002327398397028446,1.0,-1.0
2016-11-09,0.00834104946944381,0.00025721359997987747,1.0,1.0
2016-11-10,0.006120617461638658,-0.0024502314627170563,1.0,-1.0
2016-11-11,-0.012642386877023163,0.003351799678057432,-1.0,1.0
