Date,044_IYZ_1d_actual_lnrts,044_IYZ_1d_forecast_lnrts,044_IYZ_1d_true_label,044_IYZ_1d_forecast_label
2016-09-02,0.012125201250286797,-0.007799353450536728,1.0,-1.0
2016-09-06,0.0018522531740240659,-0.0002934862859547138,1.0,-1.0
2016-09-07,0.00829374024724341,-0.0043637994676828384,1.0,-1.0
2016-09-08,-0.00030592773448792735,-0.0052016135305166245,-1.0,-1.0
2016-09-09,-0.03360603684440681,-0.00805045198649168,-1.0,-1.0
2016-09-12,0.03299386916155472,-0.006486950442194939,1.0,-1.0
2016-09-13,-0.025427618782148345,-0.006078624166548252,-1.0,-1.0
2016-09-14,0.0,-0.004205748438835144,0.0,-1.0
2016-09-15,0.013414623033610703,-0.006729711778461933,1.0,-1.0
2016-09-16,-0.002792844420711378,-0.0026878167409449816,-1.0,-1.0
2016-09-19,0.0006212959336528301,-0.007038995623588562,1.0,-1.0
2016-09-20,-0.011557234781417155,-0.0015065681654959917,-1.0,-1.0
2016-09-21,0.006575865872751962,-0.004357601515948772,1.0,-1.0
2016-09-22,0.019472153329356565,-0.0027431787457317114,1.0,-1.0
2016-09-23,0.0015293584267549664,-0.005120307207107544,1.0,-1.0
2016-09-26,-0.006205632365147255,-0.006018336862325668,-1.0,-1.0
2016-09-27,0.003709390903419943,-0.00551016628742218,1.0,-1.0
2016-09-28,0.00799014552082363,-0.001318049617111683,1.0,-1.0
2016-09-29,-0.007681730684207878,-0.007318124175071716,-1.0,-1.0
2016-09-30,-0.006187985797071437,-0.004937736317515373,-1.0,-1.0
2016-10-03,-0.0006209444901662965,-0.006547993049025536,-1.0,-1.0
2016-10-04,-0.007794324309835806,-0.004482967779040337,-1.0,-1.0
2016-10-05,-0.005964538943422363,-0.0021164685022085905,-1.0,-1.0
2016-10-06,-0.003469467695790559,-0.004756166599690914,-1.0,-1.0
2016-10-07,-0.004115850891596914,-0.003940124064683914,-1.0,-1.0
2016-10-10,0.01072895696021361,-0.0029004153329879045,1.0,-1.0
2016-10-11,-0.008194119046765187,-0.006972487084567547,-1.0,-1.0
2016-10-12,0.0009488499486657773,-0.000552857294678688,1.0,-1.0
2016-10-13,-0.004118458969890421,0.00015025027096271515,-1.0,1.0
2016-10-14,0.0003174198154632832,0.0012630599085241556,1.0,1.0
2016-10-17,-0.0025420872813728267,-0.003465197281911969,-1.0,-1.0
2016-10-18,0.0072911410372930715,-0.0037011413369327784,1.0,-1.0
2016-10-19,0.005355257604036576,0.0002848320873454213,1.0,1.0
2016-10-20,-0.012964626520722281,0.0014473963528871536,-1.0,1.0
2016-10-21,-0.003187796214720148,-0.0012987107038497925,-1.0,-1.0
2016-10-24,0.013320872338427969,0.0014329992700368166,1.0,1.0
2016-10-25,-0.007590180778405857,8.169491775333881e-05,-1.0,1.0
2016-10-26,-0.006688937549218965,-0.00164252077229321,-1.0,-1.0
2016-10-27,0.016482081738064445,0.00043065426871180534,1.0,1.0
2016-10-28,-0.007890199188264646,-0.0006008557975292206,-1.0,-1.0
2016-10-31,-0.005082632396123377,-0.002090993570163846,-1.0,-1.0
2016-11-01,-0.022219498425015045,0.0014753167051821947,-1.0,1.0
2016-11-02,-0.035801044554498854,-0.0016251367051154375,-1.0,-1.0
2016-11-03,-0.00949473229607855,0.0016214565839618444,-1.0,1.0
2016-11-04,0.010506773168523961,0.0004464290104806423,1.0,1.0
2016-11-07,0.008727815321412119,-0.0031924734357744455,1.0,-1.0
2016-11-08,0.015915445664865833,-0.00010020681656897068,1.0,-1.0
2016-11-09,0.02147824963879157,0.004050869029015303,1.0,1.0
2016-11-10,-0.022794846228336812,0.0009312810143455863,-1.0,1.0
2016-11-11,0.010810886268367546,0.0025008104275912046,1.0,1.0
2016-11-14,0.0019531202649834497,-0.005993669852614403,1.0,-1.0
2016-11-15,0.005189758655982139,-0.0004037956241518259,1.0,-1.0
2016-11-16,0.002907440397005048,0.0028610292356461287,1.0,1.0
2016-11-17,0.0019336406419985862,-0.0008191349916160107,1.0,-1.0
2016-11-18,0.007697226268522321,-0.00041413307189941406,1.0,-1.0
2016-11-21,0.014904332057136252,-0.001526752719655633,1.0,-1.0
2016-11-22,0.013133362015799191,-0.0015260118525475264,1.0,-1.0
2016-11-23,0.003411396846584501,0.0010274919914081693,1.0,1.0
2016-11-25,0.008631547380413317,-0.0008479447569698095,1.0,-1.0
2016-11-28,0.001839797329592826,-0.002599267987534404,1.0,-1.0
2016-11-29,-0.0015330227149367246,-0.0019431302789598703,-1.0,-1.0
2016-11-30,-0.019833331666983724,-0.00603866670280695,-1.0,-1.0
2016-12-01,-0.002506971307594122,-0.0030793386977165937,-1.0,-1.0
2016-12-02,0.005943981164046122,-0.0038325327914208174,1.0,-1.0
2016-12-05,0.012399422785367094,-0.00483305286616087,1.0,-1.0
2016-12-06,0.007366464583564556,-0.0013322841841727495,1.0,-1.0
2016-12-07,0.02804349389412261,-0.004703420214354992,1.0,-1.0
2016-12-08,0.005042282942429944,5.2716583013534546e-05,1.0,1.0
2016-12-09,0.0002958234231069546,-0.0017845171969383955,1.0,-1.0
2016-12-12,-0.01580003811044624,-0.004492885433137417,-1.0,-1.0
2016-12-13,0.009866999034197656,-0.00228875526227057,1.0,-1.0
2016-12-14,-0.004174044473337889,-0.006445988081395626,-1.0,-1.0
2016-12-15,0.0062546266837992135,-0.007955913431942463,1.0,-1.0
2016-12-16,0.006215779314391435,-0.002891225041821599,1.0,-1.0
2016-12-19,0.019866234476444897,-0.002729745814576745,1.0,-1.0
2016-12-20,0.0063438446926435835,-0.004193028435111046,1.0,-1.0
2016-12-21,-0.007491570847881037,-0.002691246336326003,-1.0,-1.0
2016-12-22,0.012742725569676162,-0.008032065816223621,1.0,-1.0
2016-12-23,0.008025203652534276,-0.006028054282069206,1.0,-1.0
2016-12-27,0.0011412593106807662,-0.006281069479882717,1.0,-1.0
2016-12-28,-0.010894637505256526,-0.0095351068302989,-1.0,-1.0
2016-12-29,0.0008645186862174408,-0.0064089857041835785,1.0,-1.0
2016-12-30,-0.006356673081611894,-0.0024915544781833887,-1.0,-1.0
